Actinobaculum	Actinomyces	Adlercreutzia	Aggregatibacter	Aminobacterium	Anaerococcus	Anaeroglobus	Anaerovorax	Arabia	Asaccharobacter	Atopobium	Blautia	Brachymonas	Butyrivibrio	Campylobacter	Candidatus Kryptonium	Candidatus Methanomethylophilus	Capnocytophaga	Cardiobacterium	Catonella	Cloacibacillus	Collinsella	Denitrobacterium	Desulfobulbus	Dialister	Dorea	Eggerthella	Eggerthia	Eikenella	Emergencia	Enterorhabdus	Eubacterium	Filifactor	Fusobacterium	Gemella	Gordonibacter	Johnsonella	Jonquetella	Lachnoanaerobaculum	Leptotrichia	Methanobrevibacter	Mogibacterium	Olsenella	Oribacterium	Ottowia	Paraeggerthella	Parvimonas	Peptoanaerobacter	Peptoniphilus	Peptostreptococcus	Phocaeicola	Porphyromonas	Prevotella	Pseudomonas	Pseudopropionibacterium	Pseudoramibacter	Raoultibacter	Roseburia	Rothia	Ruminiclostridium	Ruminococcus	Schaalia	Selenomonas	Senegalimassilia	Shuttleworthia	Slackia	Solobacterium	Streptobacillus	Streptococcus	Streptomyces	Tannerella	Thermanaerovibrio	Treponema	Veillonella
1637	1372349	1	716	1	1	1	1	1	1	721	1	1	1	3948	470	1	552	3172	1	1	1218	1	24203	1	1	645	1	1404	1	1	627	1	1	611	754	4794	1	1	1	2966	5512	240515	1	21951	1	1	1	1	1	1929	378	1891	389994	69778	1	1	1	1360	1	1	79464	7570	1	1	1609	1	1	89117	3006	2271	1	3477	1
1382	1420374	1	1	1	1	1	1	974	1	1	575	1018	510	3540	4458	1	1	892	518	1	1823	491	640989	1	1	3433	725	3485	1	703	1227	440	1507	971	3563	9337	1	877	1	1	4942	197396	2970	1555	792	1586	895	1	1	1129	2097	1224	24112	215546	1	1297	1	1	1	982	7872	3785	1	1	9830	1	1	10551	7886	17879	1	19096	1
9974	478618	520	710	708	1090	1	965	1943	489	1	620	551	754	32297	1164	1	6694	4519	3430	906	1407	527	504162	1	1	5447	3385	9663	1	1406	11520	7904	20000	1157	6874	63796	1225	3175	6812	1	6234	37207	2478	764	2945	6223	19917	2719	680	13083	25772	7347	4468	71811	76307	1598	604	1	473	1067	67869	4685	529	1	38097	565	1044	125077	3773	453662	1542	127833	1
1	1155619	1811	1617	1	693	1	510	7283	1699	3220	862	1	1213	101934	857	1	16583	7504	5883	536	4488	2380	296853	1761	552	19933	6667	15121	1	4896	11842	15195	27112	1761	25846	70890	973	5731	13467	99237	11970	160893	4193	579	10818	16102	10317	1921	1105	31758	24526	32091	4983	299022	104168	5884	1582	1	501	1341	26699	47337	2236	1	53429	710	1	154215	4467	203825	944	234250	1938
18760	896753	1847	1	640	1172	524	806	7426	1704	4300	733	1	735	28121	1917	1	5259	1454	3575	784	5405	2117	95625	1039	519	20768	6048	15053	566	5057	6522	10173	29328	2104	26847	35520	1239	2253	1278	176298	22068	433564	2582	1	4197	85733	9931	2574	1716	20992	5013	4998	2984	119169	289645	6344	612	1	1	1271	10243	8560	2167	537	14717	1293	1505	162228	3959	58434	1244	66096	1
3752	2820786	948	1	1	1	1729	1	3497	806	13317	1	1	1	5373	1308	1	2335	1771	1451	1	5366	1196	34038	4659	1	10649	2616	1	1	2572	2602	1173	5461	2337	13830	5927	1	1026	2459	3737	38488	652492	1301	1	6552	13348	2107	899	833	35821	2169	1889	4514	50333	900070	3457	1	744	1	972	6143	3914	1274	1	12092	1	642	68857	9571	39245	1	43883	1
14847	2822865	1	1155	1	861	2485	1	2801	1	2697	1	1	990	30452	1790	1	11208	2276	6148	1	2444	791	109025	4991	1	7879	2638	21488	1	2088	45675	4930	39083	10431	9809	132493	1	4312	3694	1	23565	234403	14043	1	4232	381788	16889	1229	1248	3904	2229	6142	4008	257445	30976	2407	1	13494	1	1056	9515	19618	890	1143	34322	1735	883	1357245	7431	40119	1	50085	1695
1	276908	2579	1	645	893	1	831	10371	2455	6322	957	1	960	17458	792	1	1137	1	2869	1734	6454	2753	58066	3480	745	28692	5738	899	929	6999	3358	9396	7212	1088	37090	10725	2816	2362	7942	276043	8397	272656	3936	1	12864	8629	6289	3887	714	155803	4455	8244	6368	1834	130458	8376	959	1	874	1738	14744	3705	3008	668	25697	697	804	14003	3944	214728	2115	100383	1
19103	1091710	1039	663	1	1162	1	1176	4015	1061	1223	689	1	845	30692	1555	1	2546	4241	2124	628	2883	1125	325368	1	536	11293	4757	7523	1	2899	5930	5608	11335	1389	14532	30212	902	2394	2325	66199	9472	180875	2269	1307	4917	11360	7302	3819	789	5155	15244	6244	6925	108107	139323	3475	711	3548	567	1229	16056	5466	1180	1	10833	1	1153	192217	8611	449619	1041	100752	845
2365	451145	415	1	1	335	3892	1	1554	368	6875	318	1	352	17379	795	1	3602	886	1370	1	2192	569	121064	1590	241	4460	2058	2645	262	1093	2490	3631	19661	683	5372	13704	270	786	805	3506	17073	450721	3893	2576	2584	12801	3254	1033	345	22681	3138	4449	2543	34258	163131	1304	337	1667	1	672	31833	5298	541	405	12368	1259	426	75221	3283	57368	270	44922	253
21303	1739705	1	2373	1	1	1	1	1707	1	1281	1	1	839	22858	8390	1	8704	14412	2139	1	2199	687	523861	756	1	5372	2710	11624	1	1295	9178	2089	18695	646	6505	94155	860	4706	3551	16163	3401	240726	5464	5596	1455	1497	4692	961	930	12079	5657	6003	3286	368681	42401	1630	1	3869	1	790	25710	9043	1	1	10681	879	1	215796	9364	54844	1	67587	759
