Genus	otago	okla	jena
Nitrosomonas	1	1	1
Nitrosopumilus	1	1	1
Nitrososphaera	1	1	1
Nitrosospira	1	1	1
Nitrosovibrio	1	1	1
Nitrospina	1	1	1
Nitrospira	1	1	1
Nitrospirillum	1	1	1
Niveispirillum	1	1	1
Nocardia	1	1	1
Nocardioides	1	1	1
Nocardiopsis	1	1	1
Nodosilinea	1	1	
Nonomuraea	1	1	1
Nostoc	1	1	1
Noviherbaspirillum	1	1	1
Novosphingobium	1	1	1
Oceanicaulis	1	1	1
Oceanicella	1	1	1
Oceanicola	1	1	1
Oceanimonas	1	1	1
Oceanithermus	1	1	1
Ochrobactrum	1	1	1
Oerskovia	1	1	
Ohtaekwangia	1	1	1
Oleiagrimonas	1	1	1
Oligotropha	1	1	1
Olleya		1	
Opitutus	1	1	1
Ornithinimicrobium	1	1	1
Orrella	1	1	1
Oscillatoria	1	1	1
Oscillibacter	1		
Oscillochloris	1	1	
Paenarthrobacter		1	1
Paenibacillus	1		
Paludibacterium	1	1	
Paludisphaera	1	1	1
Pandoraea	1	1	1
Pannonibacter	1	1	1
Pantoea	1	1	1
Parabacteroides	1	1	1
Paraburkholderia	1	1	1
Parachlamydia	1	1	
Paracoccus	1	1	1
Pararheinheimera		1	
Pararhodospirillum	1	1	
Parvibaculum	1	1	1
Parvularcula		1	
Patulibacter	1	1	1
Paucibacter		1	1
Pectobacterium	1	1	1
Pediococcus		1	
Pedobacter	1	1	1
Pelagibaca	1	1	1
Pelagibacterium	1	1	1
Pelobacter	1	1	1
Pelomonas	1	1	1
Phaeobacter	1	1	1
Phaeospirillum	1	1	1
Phenylobacterium	1	1	1
Phormidium	1	1	
Photobacterium	1	1	
Photorhabdus	1	1	1
Phreatobacter	1	1	1
Phycicoccus	1	1	1
Phycisphaera	1	1	1
Phyllobacterium	1	1	1
Pimelobacter	1	1	1
Pirellula	1	1	1
Piscinibacter	1	1	1
Piscirickettsia	1	1	
Planctomyces	1	1	1
Planifilum	1	1	1
Planobispora	1	1	1
Planococcus		1	
Plantactinospora	1	1	1
Plantibacter	1	1	1
Plasticicumulans	1	1	1
Pleomorphomonas	1	1	1
Pluralibacter	1	1	1
Polaribacter		1	
Polaromonas	1	1	1
Polymorphum	1	1	1
Polynucleobacter	1	1	1
Pontibacter	1	1	1
Porphyrobacter	1	1	1
Prauserella	1	1	1
Promicromonospora	1	1	1
Propionibacterium		1	
Propionicicella	1	1	
Propionivibrio	1	1	
Prosthecobacter		1	
Prosthecochloris	1	1	
Prosthecomicrobium	1	1	1
Providencia	1	1	1
Pseudacidovorax	1	1	1
Pseudaminobacter	1	1	1
Pseudoalteromonas	1	1	1
Pseudoclavibacter	1	1	1
Pseudodesulfovibrio	1	1	1
Pseudoduganella	1	1	1
Pseudoflavonifractor	1		
Pseudogracilibacillus	1	1	
Pseudogulbenkiania	1	1	1
Pseudohaliea	1	1	1
Pseudolabrys	1	1	1
Pseudonocardia	1	1	1
Pseudooceanicola	1	1	1
Pseudorhodoferax	1	1	1
Pseudorhodoplanes	1	1	1
Pseudoroseicyclus	1	1	
Pseudosporangium	1	1	1
Pseudoxanthobacter	1	1	1
Pseudoxanthomonas	1	1	1
Psychrobacillus	1	1	
Psychrobacter	1	1	1
Psychroflexus		1	
Psychromonas	1	1	
Pulveribacter	1	1	1
Pusillimonas	1	1	1
Raineyella	1	1	
Ralstonia	1	1	1
Ramlibacter	1	1	1
Raoultella	1	1	1
Rathayibacter	1	1	1
Reyranella	1	1	1
Rheinheimera		1	
Rhizobacter	1	1	1
Rhizobium	1	1	1
Rhizorhabdus	1	1	1
Rhodanobacter	1	1	1
Rhodobacter	1	1	1
Rhodobium	1	1	1
Rhodoblastus	1	1	1
Rhodococcus	1	1	1
Rhodoferax	1	1	1
Rhodoluna		1	
Rhodomicrobium	1	1	1
Rhodopila	1	1	1
Rhodopirellula	1	1	
Rhodoplanes	1	1	1
Rhodopseudomonas	1	1	1
Rhodospira	1	1	1
Rhodospirillum	1	1	1
Rhodothermus	1	1	1
Rhodovibrio	1	1	1
Rhodovulum	1	1	1
Rickettsia		1	
Robiginitalea	1	1	
Romboutsia		1	
Roseateles	1	1	1
Roseiarcus	1	1	1
Roseiflexus	1	1	1
Roseimicrobium	1	1	1
Roseivivax	1	1	1
Roseomonas	1	1	1
Roseospirillum	1	1	1
Roseovarius	1	1	1
Rubellimicrobium	1	1	1
Rubinisphaera	1	1	
Rubricoccus	1	1	1
Rubritepida	1	1	1
Rubrivirga	1	1	1
Rubrivivax	1	1	1
Rubrobacter	1	1	1
Rudaea	1	1	1
Ruegeria	1	1	1
Rufibacter	1	1	1
Rugamonas	1	1	1
Runella	1	1	1
Saccharomonospora	1	1	1
Saccharopolyspora	1	1	1
Saccharospirillum	1	1	
Saccharothrix	1	1	1
Sagittula	1	1	
Salinarimonas	1	1	1
Salinibacter	1	1	1
Salinicola	1	1	1
Salinispora	1	1	1
Salipiger	1	1	1
Salmonella	1	1	1
Sandaracinus	1	1	1
Sanguibacter	1	1	1
Schlegelella	1	1	1
Schlesneria	1	1	1
Sciscionella	1	1	1
Scytonema	1	1	1
