Species
Burkholderia insecticola
Burkholderia lata
Burkholderia latens
Burkholderia metallica
Burkholderia multivorans
Burkholderia oklahomensis
Burkholderia plantarii
Burkholderia pseudomallei
Burkholderia pseudomultivorans
Burkholderia pyrrocinia
Burkholderia seminalis
Burkholderia sp. BDU6
Burkholderia sp. BDU8
Burkholderia sp. Bp7605
Burkholderia sp. Ch1-1
Burkholderia sp. IDO3
Burkholderia sp. JS23
Burkholderia sp. K24
Burkholderia sp. KK1
Burkholderia sp. LA-2-3-30-S1-D2
Burkholderia sp. MSMB0856
Burkholderia sp. OLGA172
Burkholderia sp. RPE67
Burkholderia sp. UYPR1.413
Burkholderia sp. WSM2232
Burkholderia sp. yr520
Burkholderia stabilis
Burkholderia stagnalis
Burkholderia territorii
Burkholderia thailandensis
Burkholderia ubonensis
Burkholderia vietnamiensis
Burkholderiaceae bacterium 16
Burkholderiales bacterium
Burkholderiales bacterium GJ-E10
Burkholderiales bacterium JOSHI_001
Caballeronia cordobensis
Caenimonas sp. SL110
Caenispirillum bisanense
Caldilinea aerophila
Caldimonas manganoxidans
Calidithermus chliarophilus
Calidithermus timidus
Candidatus Accumulibacter phosphatis
Candidatus Babela massiliensis
Candidatus Bipolaricaulis anaerobius
Candidatus Blastococcus massiliensis
Candidatus Competibacter denitrificans
Candidatus Coxiella mudrowiae
Candidatus Dactylopiibacterium carminicum
Candidatus Desulforudis audaxviator
Candidatus Filomicrobium marinum
Candidatus Koribacter versatilis
Candidatus Kryptobacter tengchongensis
Candidatus Methylopumilus turicensis
Candidatus Microthrix parvicella
Candidatus Nitrosocaldus islandicus
Candidatus Nitrosomarinus catalina
Candidatus Nitrosopelagicus brevis
Candidatus Nitrosopumilus sediminis
Candidatus Nitrosotenuis aquarius
Candidatus Nitrosotenuis cloacae
Candidatus Nitrospira inopinata
Candidatus Planktophila dulcis
Candidatus Planktophila lacus
Candidatus Planktophila sulfonica
Candidatus Promineofilum breve
Candidatus Rhodobacter lobularis
Candidatus Solibacter usitatus
Candidatus Thiodiazotropha endoloripes
Candidatus Thiodictyon syntrophicum
Candidimonas bauzanensis
Castellaniella defragrans
Catalinimonas alkaloidigena
Catelliglobosispora koreensis
Catenulispora acidiphila
Caulobacter flavus
Caulobacter henricii
Caulobacter mirabilis
Caulobacter segnis
Caulobacter sp. FWC26
Caulobacter sp. K31
Caulobacter sp. Root1472
Caulobacter sp. Root487D2Y
Caulobacter sp. Root655
Caulobacter sp. UNC358MFTsu5.1
Caulobacter sp. URHA0033
Caulobacter vibrioides
Caulobacteraceae bacterium OTSz_A_272
Celeribacter indicus
Cellulomonas fimi
Cellulomonas flavigena
Cellulomonas gilvus
Cellulomonas massiliensis
Cellulomonas sp. A375-1
Cellulomonas sp. KH9
Cellulomonas sp. Leaf395
Cellulomonas sp. PSBB021
Cellulosimicrobium cellulans
Cellvibrio mixtus
Cellvibrio sp. BR
Cellvibrio sp. pealriver
Cellvibrio sp. PSBB023
Cereibacter changlensis
Chelativorans sp. BNC1
Chelativorans sp. J32
Chelatococcus asaccharovorans
Chelatococcus sambhunathii
Chelatococcus sp. CO-6
Chitinilyticum litopenaei
Chitinimonas koreensis
Chitinimonas taiwanensis
Chitiniphilus shinanonensis
Chitinophaga arvensicola
Chitinophaga barathri
Chitinophaga eiseniae
Chitinophaga ginsengisoli
Chitinophaga niabensis
Chitinophaga rupis
Chitinophaga sp. CF118
Chitinophaga sp. YR573
Chitinophaga terrae Kim and Jung 2007
Chitinophagaceae bacterium IBVUCB2
Chloracidobacterium thermophilum
Chlorobaculum limnaeum
Chlorobaculum tepidum
Chloroflexus islandicus
Chondromyces crocatus
Christensenella minuta
Christensenella sp. Marseille-P3954
Chromatiaceae bacterium 2141T.STBD.0c.01a
Chromobacterium sp. ATCC 53434
Chromobacterium subtsugae
Chromobacterium vaccinii
Chromobacterium violaceum
Chromohalobacter salexigens
Chryseolinea serpens
Chthoniobacter flavus
Chthonomonas calidirosea
Ciceribacter lividus
Citreimonas salinaria
Citrobacter werkmanii
Clavibacter michiganensis
Cloacibacterium normanense
Clostridiales bacterium Marseille-P2846
Clostridium botulinum
Clostridium tetani
Cnuella takakiae
Cobetia marina
Cohnella sp. 6021052837
Cohnella thermotolerans
Collimonas arenae
Collimonas fungivorans
Collimonas pratensis
Collimonas sp. OK242
Collimonas sp. OK307
Comamonadaceae bacterium URHA0028
Comamonas aquatica
Comamonas composti
Comamonas serinivorans
Comamonas testosteroni
Comamonas thiooxydans
Conexibacter woesei
Corallococcus coralloides
Corallococcus macrosporus
Corynebacterium aurimucosum
Corynebacterium diphtheriae
Corynebacterium glutamicum
Corynebacterium ihumii
Corynebacterium jeikeium
Corynebacterium kroppenstedtii
Corynebacterium otitidis
Corynebacterium pollutisoli
Corynebacterium pseudogenitalium
Corynebacterium sp. HMSC034A01
Corynebacterium sp. HMSC05H05
Corynebacterium ureicelerivorans
Coxiella burnetii
Cronobacter dublinensis
Cronobacter malonaticus
Cronobacter turicensis
Crossiella equi
Cryptosporangium arvum
Cryptosporangium aurantiacum
Cupriavidus alkaliphilus
Cupriavidus basilensis
Cupriavidus gilardii
Cupriavidus metallidurans
Cupriavidus nantongensis
Cupriavidus necator
Cupriavidus oxalaticus
Cupriavidus pauculus
Cupriavidus pinatubonensis
Cupriavidus plantarum
Cupriavidus sp. amp6
Cupriavidus sp. SK-3
Cupriavidus sp. SK-4
Cupriavidus sp. USMAA2-4
Cupriavidus sp. YR651
Cupriavidus taiwanensis
Curvibacter gracilis
Curvibacter lanceolatus
Curvibacter sp. AEP1-3
Curvibacter sp. PAE-UM
Cutibacterium acnes
Cutibacterium granulosum
Cyanobium gracile
Cyanobium sp. NIES-981
Cyanobium sp. PCC 7001
Cystobacter fuscus
Dechloromonas agitata
Dechloromonas aromatica
Dechloromonas denitrificans
Dechlorosoma suillum
Deinococcus actinosclerus
Deinococcus apachensis
Deinococcus ficus
Deinococcus geothermalis
Deinococcus gobiensis
Deinococcus hopiensis
Deinococcus indicus
Deinococcus maricopensis
Deinococcus marmoris
Deinococcus peraridilitoris
Deinococcus pimensis
Deinococcus radiodurans
Deinococcus reticulitermitis
Deinococcus sp. Leaf326
Deinococcus sp. NW-56
Deinococcus swuensis
Deinococcus yavapaiensis
Delftia acidovorans
Delftia sp. Cs1-4
Delftia sp. HK171
Delftia sp. K82
Delftia sp. ZNC0008
Delftia tsuruhatensis
Derxia gummosa
Desulfacinum hydrothermale
Desulfacinum infernum
Desulfarculus baarsii
Desulfatiglans anilini
Desulfatirhabdium butyrativorans
Desulfobulbus elongatus
Desulfocarbo indianensis
Desulfococcus multivorans
Desulfococcus oleovorans
Desulfocurvibacter africanus
Desulfocurvus vexinensis
Desulfoluna spongiiphila
Desulfomicrobium escambiense
Desulfomonile tiedjei
Desulfonatronum lacustre
Desulfovibrio aminophilus
Desulfovibrio desulfuricans
Desulfovibrio gigas
Desulfovibrio longus
Desulfovibrio magneticus
Desulfovibrio mexicanus
Desulfovibrio piger
Desulfovibrio putealis
Desulfovibrio sp. U5L
Desulfovibrio termitidis
Desulfovibrio vulgaris
Desulfovirgula thermocuniculi
Desulfurivibrio alkaliphilus
Desulfuromonas soudanensis
Desulfuromonas sp. DDH964
Desulfuromonas sp. TF
Devosia enhydra
Devosia sp. 17-2-E-8
Devosia sp. A16
Devosia sp. H5989
Devosia sp. Root436
Devosia sp. Root635
Devosia sp. Root685
Diaphorobacter polyhydroxybutyrativorans
Dokdonella immobilis
Dokdonella koreensis
Dolosigranulum pigrum
Dongia sp. URHE0060
Duganella sacchari
Duganella sp. CF402
Duganella sp. CF458
Duganella sp. CF517
Duganella sp. Root1480D1
Duganella zoogloeoides
Dyadobacter fermentans
Dyella japonica
Dyella jiangningensis
Dyella marensis
Dyella sp. 333MFSha
Dyella sp. 4G-K06
Dyella sp. 4MSK11
Dyella sp. DHG54
Dyella sp. OK004
Dyella thiooxydans
Ectothiorhodospira haloalkaliphila
Ectothiorhodospira magna
Ectothiorhodospira sp. BSL-9
Edaphobacter aggregans
Edwardsiella piscicida
Elioraea tepidiphila
Elizabethkingia anophelis
Embleya scabrispora
endosymbiont of Ridgeia piscesae
endosymbiont of unidentified scaly snail isolate Monju
Enhydrobacter aerosaccus
Ensifer aridi
Ensifer sojae
Ensifer sp. BR816
Ensifer sp. ZNC0028
Enterobacter cloacae
Enterobacter hormaechei
Enterococcus cecorum
Enterococcus faecium
Eoetvoesia caeni
Ereboglobus luteus
Erythrobacter litoralis
Erythrobacter sp. HL-111
Escherichia coli
Euzebya sp. DY32-46
Extensimonas vulgaris
Faecalibacterium prausnitzii
Ferrimonas marina
Ferriphaselus sp. R-1
Fibrella aestuarina
Filimonas lacunae
Fimbriimonas ginsengisoli
Fischerella muscicola
Flavisolibacter ginsengisoli
Flavisolibacter tropicus
Flavobacterium aciduliphilum
Flavobacterium anhuiense
Flavobacterium aquaticum
Flavobacterium aquatile
Flavobacterium aquicola
Flavobacterium araucananum
Flavobacterium branchiophilum
Flavobacterium columnare
Flavobacterium commune
Flavobacterium crassostreae
Flavobacterium daejeonense
Flavobacterium defluvii
Flavobacterium degerlachei
Flavobacterium faecale
Flavobacterium filum
Flavobacterium flevense
Flavobacterium frigidarium
Flavobacterium frigoris
Flavobacterium gelidilacus
Flavobacterium gilvum
Flavobacterium glaciei
Flavobacterium glycines
Flavobacterium haoranii
Flavobacterium hercynium
Flavobacterium hibernum
Flavobacterium hydatis
Flavobacterium indicum
Flavobacterium johnsoniae
Flavobacterium lacus
Flavobacterium micromati
Flavobacterium omnivorum
Flavobacterium oncorhynchi
Flavobacterium pectinovorum
Flavobacterium phragmitis
Flavobacterium piscis
Flavobacterium plurextorum
Flavobacterium psychrophilum
Flavobacterium reichenbachii
Flavobacterium sasangense
Flavobacterium segetis
Flavobacterium sinopsychrotolerans
Flavobacterium soli
Flavobacterium sp. 316
Flavobacterium sp. Fl
Flavobacterium sp. Root186
Flavobacterium sp. Root420
Flavobacterium sp. Root935
Flavobacterium sp. URHB0058
Flavobacterium spartansii
Flavobacterium succinicans
Flavobacterium tegetincola
Flavobacterium terrigena
Flavobacterium urumqiense
Flavobacterium xinjiangense
Flavobacterium xueshanense
Fontimonas thermophila
Francisellaceae bacterium
Frankia coriariae
Frankia discariae
Frankia elaeagni
Frankia inefficax
Frankia saprophytica
Frankia sp. DC12
Frankia sp. EAN1pec
Frankia sp. QA3
Frankiales bacterium
Frankineae bacterium MT45
Frateuria aurantia
Frateuria sp. Soil773
Frateuria terrea
Friedmanniella flava
Friedmanniella luteola
Friedmanniella sagamiharensis
Frondihabitans sp. Leaf304
Fuerstia marisgermanicae
Fulvimonas soli
gamma proteobacterium HdN1
gamma proteobacterium HTCC5015
Gammaproteobacteria bacterium 2W06
Gardnerella vaginalis
Geminicoccus roseus
Gemmata obscuriglobus
Gemmata sp. SH-PL17
Gemmatimonas aurantiaca
Gemmatimonas phototrophica
Gemmatirosa kalamazoonesis
Geoalkalibacter ferrihydriticus
Geoalkalibacter subterraneus
Geobacillus stearothermophilus
Geobacter bemidjiensis
Geobacter bremensis
Geobacter metallireducens
Geobacter pelophilus
Geobacter pickeringii
Geobacter sp. DSM 9736
Geobacter sp. M18
Geobacter sp. M21
Geobacter sulfurreducens
Geobacter uraniireducens
Geodermatophilaceae bacterium URHA0031
Geodermatophilaceae bacterium URHB0062
Geodermatophilus africanus
Geodermatophilus amargosae
Geodermatophilus nigrescens
Geodermatophilus obscurus
Geodermatophilus ruber
Geodermatophilus sabuli
