name1	name2	percent_compared
NMU122	NMU121	91.8918184861351
NMU122	EFE006	91.7750299270683
NMU122	TAP001	91.3451529692473
NMU122	EFE004	91.4475127092433
NMU122	TON007	90.7177200157257
NMU122	TON005	90.7526886831207
NMU122	TON004	91.5556100267052
NMU122	PAH002	90.4911366310711
NMU122	TAP003	90.4692048260835
NMU122	NMU119	90.113610823855
NMU122	NMU118	91.7860297797246
NMU122	ANN001	91.9830086226623
NMU122	ATT002	91.7021049779765
NMU122	ANN004	90.9532662432855
NMU122	PVD001	92.4974893854817
NMU122	NMU130	91.60768957601
NMU122	NMU115	92.5081836866753
NMU122	EFE003	91.3845012076073
NMU122	NMU124	90.0753150405331
NMU122	AMH004	90.2849912442531
NMU122	AMH001	91.2088430667318
NMU122	ATT001	90.7483430623182
PVD001	HCLVMBCX2-3505-06	90.6428938575329
PVD001	NMU128	92.5716365404241
PVD001	NMU121	91.9473270018544
PVD001	EFE006	91.818214533793
PVD001	TAP001	91.4199791274401
PVD001	EFE004	91.4983361025349
PVD001	TON007	90.7007109843035
PVD001	TON005	90.7371395086868
PVD001	TON004	91.5554402758926
PVD001	PAH002	90.5087907155812
PVD001	TAP003	90.5084172637934
PVD001	NMU119	90.0027635432291
PVD001	NMU118	91.7180615543607
PVD001	ANN001	92.0773561243038
PVD001	ATT002	91.755270932482
PVD001	ANN004	91.0631289691984
PVD001	NMU122	92.4974893854817
PVD001	NMU130	91.4788826594113
PVD001	NMU115	92.4324408740945
PVD001	EFE003	91.4048373549564
PVD001	NMU124	90.0895062084662
PVD001	AMH004	90.2456090557305
PVD001	AMH001	91.1848403018305
PVD001	ATT001	90.7888456062039
NMU130	NMU128	91.4108125835599
NMU130	NMU121	90.8373264382817
NMU130	EFE006	90.7206397297024
NMU130	TAP001	90.290932522694
NMU130	EFE004	90.4324707502375
NMU130	TON004	90.5274972551294
NMU130	NMU118	90.9020354480437
NMU130	ANN001	90.9023070493438
NMU130	ATT002	90.6409247481068
NMU130	NMU122	91.60768957601
NMU130	PVD001	91.4788826594113
NMU130	NMU115	91.477490702748
NMU130	EFE003	90.3533668715672
NMU130	AMH001	90.2180415237648
NMU115	HCLVMBCX2-3505-06	90.4892693721325
NMU115	NMU128	92.4011727744141
NMU115	NMU121	91.9601601632867
NMU115	EFE006	91.8666614157082
NMU115	TAP001	91.5504496020023
NMU115	EFE004	91.35421766264
NMU115	TON007	90.8303327048027
NMU115	TON005	90.8661501262607
NMU115	TON004	91.6934816366966
NMU115	PAH002	90.3471200416636
NMU115	TAP003	90.5031549886029
NMU115	NMU119	90.2398714782648
NMU115	NMU118	91.6708029281336
NMU115	ANN001	92.1700400679818
NMU115	ATT002	91.9136144904726
NMU115	ANN004	91.1139863126525
NMU115	NMU122	92.5081836866753
NMU115	PVD001	92.4324408740945
NMU115	NMU130	91.477490702748
NMU115	EFE003	91.2833976236244
NMU115	AMH004	90.4005236473067
NMU115	AMH001	91.3602947417309
NMU115	ATT001	90.9249857579068
TON001	NMU128	90.3054631922523
TON001	EFE006	90.3383948498962
TON001	TON007	90.0764014457337
TON001	ANN001	90.0241521456163
EFE003	HCLVMBCX2-3505-06	91.1066530775483
EFE003	NMU128	92.6056885534311
EFE003	NMU121	91.828671183849
EFE003	EFE006	92.0433041112968
EFE003	TAP001	91.4498892206197
EFE003	EFE004	91.4412658793398
EFE003	TON007	90.5949562280555
EFE003	TON005	90.6015086094217
EFE003	TON004	91.6643184470924
EFE003	PAH002	90.4800688780897
EFE003	TAP003	90.3009478206372
EFE003	NMU118	90.6880815238462
EFE003	ANN001	91.6279238728716
EFE003	ATT002	91.3377178836555
EFE003	ANN004	90.5519413721433
EFE003	NMU122	91.3845012076073
EFE003	PVD001	91.4048373549564
EFE003	NMU130	90.3533668715672
EFE003	NMU115	91.2833976236244
EFE003	AMH001	90.4488007784093
EFE003	ATT001	90.3850763233604
NMU124	NMU128	91.010947569406
NMU124	NMU121	90.9196216322288
NMU124	EFE006	90.3162253937709
NMU124	EFE004	90.3620920633347
NMU124	TON004	90.1397863991575
NMU124	ANN001	90.5451173894769
NMU124	ATT002	90.2753833482601
NMU124	NMU122	90.0753150405331
NMU124	PVD001	90.0895062084662
TON003	NMU128	90.4834299441791
TON003	NMU121	90.1290581478014
TON003	EFE006	90.1388018444444
TON003	TON004	90.6194682453945
TON003	ANN001	90.0256120026047
AMH004	NMU128	90.6557949192903
AMH004	NMU121	90.207007720946
AMH004	EFE006	90.0854661391264
AMH004	TON004	90.1645360676342
AMH004	ANN001	90.8408233050212
AMH004	ATT002	90.5341514869832
AMH004	NMU122	90.2849912442531
AMH004	PVD001	90.2456090557305
AMH004	NMU115	90.4005236473067
AMH004	AMH001	90.7484788629683
AMH001	NMU128	91.6129518512005
AMH001	NMU121	91.163757250906
AMH001	EFE006	91.0236788803508
AMH001	TAP001	90.4778960676885
AMH001	EFE004	90.8849585162964
AMH001	TON007	90.3601569040711
AMH001	TON005	90.177403179229
AMH001	TON004	90.9726857362466
AMH001	NMU118	90.4644178531683
AMH001	ANN001	91.7798168999835
AMH001	ATT002	91.4972496973343
AMH001	ANN004	90.6743656581884
AMH001	NMU122	91.2088430667318
AMH001	PVD001	91.1848403018305
AMH001	NMU130	90.2180415237648
AMH001	NMU115	91.3602947417309
AMH001	EFE003	90.4488007784093
AMH001	AMH004	90.7484788629683
AMH001	ATT001	90.4251375151333
ATT001	HCLVMBCX2-3505-06	90.1227094674102
ATT001	NMU128	91.5310980093662
ATT001	NMU121	91.1515691425615
ATT001	EFE006	91.0660147330125
ATT001	TAP001	90.9066526701463
ATT001	EFE004	90.8652334718726
ATT001	TON007	90.3850423731978
ATT001	TON004	90.5665738921892
ATT001	TAP003	90.0063283102936
ATT001	NMU118	90.0024579917664
ATT001	ANN001	91.8847908024936
ATT001	ATT002	91.6123067981126
ATT001	ANN004	91.1584949757155
ATT001	NMU122	90.7483430623182
ATT001	PVD001	90.7888456062039
ATT001	NMU115	90.9249857579068
ATT001	EFE003	90.3850763233604
ATT001	AMH001	90.4251375151333
