#Datasets	SRR11176627.unmapped	SRR11176628.unmapped	SRR11176629.unmapped	SRR11176630.unmapped	SRR11176631.unmapped	SRR11176632.unmapped	SRR11176633.unmapped	SRR11176634.unmapped	SRR11176635.unmapped	SRR11176636.unmapped	SRR11176637.unmapped	SRR11176638.unmapped	SRR11176639.unmapped	SRR11176640.unmapped	SRR11176641.unmapped	SRR11176642.unmapped	SRR11176643.unmapped
"Bdellovibrio bacteriovorus"	0.0	0.0	0.0	0.0	687.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Gemmata obscuriglobus"	0.0	0.0	0.0	0.0	2489.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Gemmata sp. SH-PL17"	0.0	0.0	0.0	0.0	1204.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Paludisphaera borealis"	0.0	0.0	0.0	0.0	484.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Singulisphaera acidiphila"	0.0	0.0	0.0	0.0	785.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Opitutus sp. GAS368"	0.0	0.0	0.0	0.0	830.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Roseimicrobium gellanilyticum"	0.0	0.0	0.0	0.0	722.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Leptospira alstonii"	0.0	0.0	0.0	0.0	397.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Leptospira interrogans"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.0
"Treponema denticola"	11680.0	3857.0	20952.0	4402.0	4029.0	14909.0	370.0	11041.0	10225.0	10448.0	0.0	5014.0	17201.0	22240.0	6410.0	31592.0	0.0
"Treponema lecithinolyticum"	3179.0	0.0	15275.0	1899.0	0.0	1827.0	0.0	514.0	3915.0	1928.0	0.0	2624.0	2423.0	1784.0	495.0	688.0	0.0
"Treponema maltophilum"	9782.0	6745.0	16459.0	3781.0	1080.0	6787.0	424.0	4032.0	11612.0	6924.0	0.0	2945.0	17879.0	33061.0	4783.0	16847.0	0.0
"Treponema medium"	0.0	0.0	961.0	0.0	0.0	325.0	0.0	0.0	0.0	0.0	0.0	0.0	741.0	0.0	0.0	632.0	0.0
"Treponema pedis"	12520.0	0.0	1942.0	3283.0	0.0	1093.0	0.0	0.0	2002.0	1333.0	0.0	1216.0	1032.0	0.0	2840.0	0.0	0.0
"Treponema putidum"	0.0	0.0	1188.0	0.0	0.0	695.0	0.0	457.0	0.0	0.0	0.0	251.0	709.0	1183.0	487.0	1052.0	0.0
"Treponema socranskii"	14395.0	8542.0	40530.0	7688.0	2520.0	17521.0	405.0	9974.0	19250.0	9524.0	0.0	7216.0	25603.0	31046.0	54672.0	23194.0	0.0
"Treponema vincentii"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	936.0	0.0	382.0	0.0	0.0
"Treponema sp. OMZ 838"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	744.0	0.0	0.0	0.0	0.0	1288.0	2344.0	0.0	1345.0	0.0
"Aminobacterium colombiense"	0.0	0.0	0.0	0.0	0.0	447.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Aminomonas paucivorans"	1504.0	0.0	2660.0	609.0	0.0	1388.0	0.0	0.0	1580.0	854.0	0.0	590.0	926.0	0.0	386.0	0.0	0.0
"Cloacibacillus evryensis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	215.0	0.0	0.0	0.0	0.0	0.0
"Cloacibacillus porcorum"	0.0	0.0	1606.0	0.0	0.0	647.0	0.0	0.0	889.0	0.0	0.0	481.0	0.0	0.0	0.0	0.0	0.0
"Jonquetella anthropi"	10209.0	0.0	2035.0	2639.0	0.0	1322.0	0.0	0.0	1405.0	1157.0	0.0	919.0	925.0	0.0	4203.0	0.0	0.0
"Synergistes sp. 3_1_syn1"	1319.0	0.0	969.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	261.0	0.0	0.0	0.0	0.0	0.0
"Thermanaerovibrio acidaminovorans"	0.0	0.0	1269.0	0.0	0.0	709.0	0.0	0.0	776.0	0.0	0.0	276.0	0.0	0.0	0.0	0.0	0.0
"Candidatus Microthrix parvicella"	0.0	0.0	0.0	0.0	1190.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Actinobaculum sp. oral taxon 183"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1287.0	0.0	0.0	0.0
"Actinomyces bouchesdurhonensis"	0.0	2527.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1430.0	3017.0	0.0	0.0	0.0
"Actinomyces culturomici"	0.0	881.0	0.0	0.0	0.0	0.0	0.0	883.0	0.0	0.0	0.0	0.0	812.0	0.0	0.0	2040.0	0.0
"Actinomyces dentalis"	95039.0	31017.0	104856.0	273073.0	266337.0	287528.0	3368.0	111801.0	534267.0	451992.0	0.0	44687.0	327201.0	390721.0	152218.0	174697.0	0.0
"Actinomyces gerencseriae"	2769.0	8507.0	5621.0	5074.0	16069.0	40748.0	0.0	2831.0	17899.0	14403.0	0.0	1076.0	13100.0	11720.0	2162.0	9295.0	0.0
"Actinomyces glycerinitolerans"	0.0	0.0	0.0	0.0	0.0	475.0	0.0	0.0	0.0	762.0	0.0	0.0	0.0	0.0	396.0	0.0	0.0
"Actinomyces israelii"	24960.0	17639.0	169962.0	33967.0	2438.0	4074.0	0.0	1259.0	198956.0	15159.0	0.0	5527.0	158026.0	82538.0	5057.0	3232.0	0.0
"Actinomyces johnsonii"	0.0	67224.0	975.0	0.0	0.0	623.0	0.0	701.0	1474.0	1292.0	0.0	0.0	7721.0	4971.0	1614.0	8758.0	0.0
"Actinomyces massiliensis"	1434.0	9846.0	3151.0	1029.0	693.0	1709.0	446.0	1249.0	11898.0	2787.0	0.0	525.0	9768.0	26159.0	1452.0	10922.0	0.0
"Actinomyces naeslundii"	2271.0	241363.0	3464.0	1942.0	1690.0	2932.0	273.0	2186.0	5448.0	4919.0	0.0	405.0	27230.0	26446.0	6012.0	28740.0	0.0
"Actinomyces oris"	2614.0	168806.0	4300.0	2016.0	1600.0	2156.0	247.0	4063.0	11172.0	5723.0	0.0	442.0	85458.0	15392.0	29755.0	16572.0	0.0
"Actinomyces radicidentis"	1211.0	4261.0	1862.0	0.0	0.0	409.0	0.0	0.0	855.0	2169.0	0.0	0.0	4977.0	4219.0	1278.0	1588.0	0.0
"Actinomyces ruminicola"	1955.0	1863.0	3034.0	1385.0	1059.0	2086.0	0.0	686.0	2365.0	4392.0	0.0	313.0	3433.0	3352.0	1738.0	1451.0	0.0
"Actinomyces slackii"	4225.0	2408.0	6433.0	701.0	0.0	545.0	0.0	0.0	1115.0	7024.0	0.0	243.0	2914.0	3040.0	4197.0	726.0	0.0
"Actinomyces timonensis"	1301.0	3314.0	1830.0	1900.0	387.0	554.0	0.0	0.0	1122.0	2273.0	0.0	0.0	2766.0	2183.0	1186.0	938.0	0.0
"Actinomyces urogenitalis"	1118.0	2480.0	1491.0	0.0	0.0	677.0	0.0	0.0	805.0	1929.0	0.0	0.0	3239.0	3638.0	1074.0	1453.0	0.0
"Actinomyces viscosus"	0.0	7190.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3088.0	0.0	1410.0	638.0	0.0
"Actinomyces sp. HMSC035G02"	0.0	5386.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	884.0	1165.0	0.0	0.0	0.0
"Actinomyces sp. HMSC075C01"	0.0	10990.0	0.0	0.0	0.0	0.0	0.0	0.0	1368.0	0.0	0.0	0.0	3339.0	1135.0	1400.0	1394.0	0.0
"Actinomyces sp. HMSC08A09"	0.0	5617.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2843.0	0.0	1396.0	616.0	0.0
"Actinomyces sp. HPA0247"	0.0	6636.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1156.0	1673.0	0.0	0.0	0.0
"Actinomyces sp. oral taxon 170"	0.0	124872.0	934.0	0.0	401.0	654.0	0.0	0.0	1381.0	1182.0	0.0	0.0	10909.0	5712.0	774.0	9747.0	0.0
"Actinomyces sp. oral taxon 171"	0.0	36529.0	0.0	0.0	0.0	0.0	0.0	0.0	866.0	0.0	0.0	0.0	8165.0	1954.0	1307.0	2986.0	0.0
"Actinomyces sp. oral taxon 172"	0.0	6971.0	0.0	0.0	0.0	0.0	260.0	0.0	0.0	0.0	0.0	0.0	4052.0	6569.0	643.0	1142.0	0.0
"Actinomyces sp. oral taxon 178"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3338.0	2199.0	0.0	0.0	0.0
"Actinomyces sp. oral taxon 180"	0.0	1530.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Actinomyces sp. oral taxon 414"	38333.0	24603.0	38103.0	101218.0	114143.0	150883.0	4215.0	69509.0	209618.0	171590.0	0.0	16778.0	195716.0	325767.0	48811.0	131933.0	0.0
"Actinomyces sp. oral taxon 448"	0.0	1433.0	1517.0	903.0	1009.0	1387.0	0.0	447.0	2528.0	2594.0	0.0	0.0	2320.0	2000.0	730.0	854.0	0.0
"Actinomyces sp. oral taxon 848"	0.0	1069.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	778.0	0.0	0.0	4077.0	0.0	1120.0	0.0
"Actinomyces sp. oral taxon 849"	0.0	27781.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3520.0	2145.0	396.0	3735.0	0.0
"Actinomyces sp. oral taxon 877"	0.0	0.0	0.0	0.0	426.0	337.0	0.0	0.0	1049.0	977.0	0.0	0.0	12416.0	8739.0	0.0	1874.0	0.0
"Actinomyces sp. oral taxon 897"	4584.0	5678.0	7136.0	1982.0	1726.0	2376.0	0.0	803.0	18481.0	12069.0	0.0	574.0	70351.0	74241.0	15902.0	1994.0	0.0
"Bowdeniella nasicola"	0.0	0.0	0.0	0.0	0.0	404.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Mobiluncus curtisii"	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Mobiluncus holmesii"	1348.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
