Species	eisenhoffer	okla
Burkholderia pseudomallei	1	1
Burkholderia pseudomultivorans		1
Burkholderia pyrrocinia		1
Burkholderia sp. A2		1
Burkholderia sp. Bp7605		1
Burkholderia sp. Ch1-1		1
Burkholderia sp. IDO3		1
Burkholderia sp. K24		1
Burkholderia sp. MSMB0856		1
Burkholderia sp. UYPR1.413		1
Burkholderia stabilis		1
Burkholderia stagnalis		1
Burkholderia territorii		1
Burkholderia thailandensis	1	1
Burkholderia ubonensis	1	1
Burkholderia vietnamiensis		1
Burkholderiaceae bacterium 26		1
Burkholderiales bacterium	1	1
Burkholderiales bacterium GJ-E10	1	1
Burkholderiales bacterium JOSHI_001	1	1
Caballeronia insecticola		1
Caenimonas sp. SL110		1
Caenispirillum bisanense	1	1
Calidithermus chliarophilus	1	1
Campylobacter pinnipediorum		1
Campylobacter ureolyticus		1
Candidatus Accumulibacter phosphatis	1	1
Candidatus Blastococcus massiliensis	1	1
Candidatus Gracilibacteria bacterium HOT-871		1
Candidatus Koribacter versatilis	1	1
Candidatus Methylopumilus turicensis		1
Candidatus Microthrix parvicella	1	1
Candidatus Nitrospira inopinata	1	1
Candidatus Planktophila dulcis		1
Candidatus Planktophila sulfonica		1
Candidatus Planktophila vernalis		1
Candidatus Planktophila versatilis		1
Candidatus Promineofilum breve	1	1
Candidatus Rhodoluna planktonica		1
Candidatus Solibacter usitatus	1	1
Candidatus Viadribacter manganicus		1
Canicola haemoglobinophilus	1	
Capnocytophaga leadbetteri	1	
Capnocytophaga sp. ChDC OS43	1	
Capnocytophaga sp. oral taxon 329	1	
Capnocytophaga sp. oral taxon 332	1	
Capnocytophaga sp. oral taxon 338	1	
Capnocytophaga sp. oral taxon 863	1	
Capnocytophaga sp. oral taxon 878	1	
Carnobacterium inhibens		1
Castellaniella defragrans	1	1
Catelliglobosispora koreensis	1	1
Catenulispora acidiphila	1	1
Caulobacter flavus		1
Caulobacter henricii	1	1
Caulobacter mirabilis	1	1
Caulobacter segnis		1
Caulobacter sp. FWC26		1
Caulobacter sp. Root1472		1
Caulobacter sp. Root487D2Y		1
Caulobacter sp. Root655	1	1
Caulobacter sp. UNC358MFTsu5.1	1	1
Caulobacter sp. URHA0033		1
Caulobacter vibrioides		1
Caulobacteraceae bacterium OTSz_A_272	1	1
Cellulomonas fimi	1	1
Cellulomonas flavigena	1	1
Cellulomonas gilvus	1	1
Cellulomonas massiliensis	1	1
Cellulomonas sp. A375-1	1	1
Cellulomonas sp. KH9	1	1
Cellulomonas sp. Leaf395	1	1
Cellulomonas sp. PSBB021	1	1
Cellulomonas sp. Root137	1	1
Cellulomonas sp. URHD0024	1	1
Cellulosimicrobium cellulans	1	1
Cellvibrio mixtus		1
Cellvibrio sp. BR		1
Cellvibrio sp. pealriver		1
Centipeda periodontii	1	
Cereibacter changlensis		1
Cereibacter sphaeroides		1
Chelativorans sp. J32	1	1
Chelatococcus asaccharovorans	1	1
Chelatococcus sp. CO-6	1	1
Chitinibacter sp. ZOR0017		1
Chitinimonas koreensis	1	1
Chitiniphilus shinanonensis	1	1
Chitinophaga eiseniae		1
Chitinophaga terrae (ex Kim and Jung 2007)		1
Chitinophagaceae bacterium IBVUCB2		1
Chlamydia abortus		1
Chlamydia psittaci		1
Chlorobaculum limnaeum		1
Chondromyces crocatus	1	1
Christensenella intestinihominis		1
Chryseobacterium defluvii		1
Chryseobacterium indoltheticum		1
Chryseobacterium sp. ERMR1:04		1
Chryseobacterium timonianum		1
Chthoniobacter flavus	1	1
Citrobacter amalonaticus		1
Citrobacter koseri		1
Clavibacter michiganensis	1	1
Cloacibacterium normanense		1
Clostridiales bacterium	1	
Clostridium cadaveris	1	
Clostridium perfringens		1
Clostridium sp. SN20		1
Cnuella takakiae		1
Cnuibacter physcomitrellae	1	1
Collimonas arenae		1
Collimonas pratensis		1
Collimonas sp. OK242		1
Collimonas sp. OK307		1
Collinsella intestinalis		1
Collinsella vaginalis		1
Comamonadaceae bacterium URHA0028	1	1
Comamonas aquatica		1
Comamonas serinivorans		1
Comamonas sp. B-9		1
Comamonas testosteroni	1	1
Conexibacter woesei	1	1
Corallococcus coralloides	1	1
Corynebacterium accolens		1
Corynebacterium aurimucosum		1
Corynebacterium casei		1
Corynebacterium diphtheriae		1
Corynebacterium efficiens		1
Corynebacterium fournieri		1
Corynebacterium genitalium		1
Corynebacterium glucuronolyticum		1
Corynebacterium glutamicum		1
Corynebacterium glyciniphilum		1
Corynebacterium halotolerans		1
Corynebacterium ihumii		1
Corynebacterium jeikeium		1
Corynebacterium kroppenstedtii		1
Corynebacterium maris		1
Corynebacterium otitidis		1
Corynebacterium provencense	1	
Corynebacterium pseudogenitalium		1
Corynebacterium pyruviciproducens		1
Corynebacterium sp. HMSC034A01		1
Corynebacterium sp. HMSC04H06		1
Corynebacterium sp. HMSC05H05		1
Corynebacterium stationis		1
Corynebacterium striatum		1
Corynebacterium terpenotabidum		1
Corynebacterium tuscaniense		1
Corynebacterium ureicelerivorans		1
Corynebacterium urinipleomorphum		1
Corynebacterium variabile		1
Corynebacterium xerosis		1
Croceicoccus marinus		1
Crossiella equi	1	1
Cryobacterium psychrotolerans		1
Cryocola sp. 340MFSha3.1		1
Cryptosporangium arvum	1	1
Cryptosporangium aurantiacum	1	1
Cupriavidus basilensis		1
Cupriavidus gilardii	1	1
Cupriavidus metallidurans		1
Cupriavidus necator	1	1
Cupriavidus oxalaticus	1	1
Cupriavidus plantarum	1	1
Cupriavidus sp. YR651		1
Cupriavidus taiwanensis	1	1
Curtobacterium sp. B18		1
Curtobacterium sp. B8		1
Curtobacterium sp. MR_MD2014		1
Curvibacter gracilis		1
Curvibacter lanceolatus		1
Curvibacter sp. AEP1-3		1
Curvibacter sp. PAE-UM		1
Cutibacterium acnes		1
Cutibacterium granulosum		1
Cystobacter fuscus	1	1
Cytophaga aurantiaca		1
Cytophaga hutchinsonii		1
Dechloromonas agitata		1
Dechloromonas aromatica		1
Dechloromonas denitrificans		1
Deinococcus pimensis	1	1
Deinococcus reticulitermitis		1
Delftia acidovorans		1
Delftia sp. Cs1-4		1
Delftia sp. HK171		1
Dermacoccus sp. Ellin185		1
Derxia gummosa	1	1
Desulfamplus magnetovallimortis		1
Desulfocarbo indianensis		1
Desulfomicrobium escambiense		1
Desulfosporosinus youngiae		1
Desulfovibrio legallii		1
Desulfovibrio piger		1
Devosia enhydra	1	1
Devosia sp. A16	1	1
Devosia sp. H5989		1
Devosia sp. Root105		1
