Species	eisenhoffer	okla
Rhodoferax saidenbachensis		1
Rhodoferax sp. OV413		1
Rhodoluna lacicola		1
Rhodomicrobium vannielii	1	1
Rhodopila globiformis	1	1
Rhodoplanes elegans	1	1
Rhodoplanes piscinae	1	1
Rhodoplanes roseus	1	1
Rhodoplanes sp. Z2-YC6860	1	1
Rhodopseudomonas faecalis		1
Rhodopseudomonas palustris	1	1
Rhodopseudomonas pseudopalustris		1
Rhodopseudomonas sp. B29	1	1
Rhodospirillaceae bacterium	1	1
Rhodospirillales bacterium URHD0017	1	1
Rhodospirillales bacterium URHD0088	1	1
Rhodospirillum centenum	1	1
Rhodospirillum rubrum		1
Rhodothermaceae bacterium RA	1	1
Rhodothermus marinus	1	1
Rhodovibrio salinarum	1	1
Riemerella anatipestifer		1
Roseateles depolymerans		1
Roseateles sp. YR242		1
Roseiarcus fermentans	1	1
Roseimicrobium gellanilyticum	1	1
Roseomonas aestuarii	1	1
Roseomonas cervicalis	1	1
Roseomonas gilardii	1	1
Roseomonas rosea	1	1
Roseomonas sp. FDAARGOS_362		1
Roseomonas stagni	1	1
Roseospirillum parvum	1	1
Roseovarius indicus	1	1
Rothia dentocariosa	1	
Rothia kristinae		1
Rothia mucilaginosa		1
Rothia sp. HMSC036D11		1
Rothia sp. HMSC058E10		1
Rothia sp. HMSC064D08		1
Rothia sp. HMSC065D02		1
Rothia sp. HMSC065G12		1
Rothia sp. HMSC069C01		1
Rothia sp. HMSC071F11		1
Rouxiella badensis		1
Rubellimicrobium mesophilum	1	1
Rubricoccus marinus	1	1
Rubritepida flocculans	1	1
Rubrivirga marina	1	1
Rubrivivax gelatinosus	1	1
Rubrobacter aplysinae	1	1
Rubrobacter radiotolerans	1	1
Rubrobacter xylanophilus	1	1
Rudaea cellulosilytica	1	1
Ruegeria lacuscaerulensis		1
Rugamonas rubra	1	1
Ruminococcaceae bacterium CPB6	1	
Runella slithyformis		1
Saccharomonospora azurea	1	1
Saccharomonospora cyanea	1	1
Saccharomonospora glauca	1	1
Saccharomonospora halophila	1	1
Saccharomonospora marina	1	1
Saccharomonospora paurometabolica	1	1
Saccharomonospora saliphila	1	1
Saccharomonospora sp. LRS4.154	1	1
Saccharomonospora viridis	1	1
Saccharomonospora xinjiangensis	1	1
Saccharopolyspora antimicrobica	1	1
Saccharopolyspora erythraea	1	1
Saccharopolyspora flava	1	1
Saccharopolyspora hirsuta	1	1
Saccharopolyspora jiangxiensis	1	1
Saccharopolyspora shandongensis	1	1
Saccharopolyspora spinosa	1	1
Saccharothrix espanaensis	1	1
Saccharothrix sp. CB00851	1	1
Salinarimonas rosea	1	1
Salinibacter ruber	1	1
Salinibacterium xinjiangense		1
Salinicoccus sp. YB14-2		1
Salinimicrobium xinjiangense		1
Salinispora arenicola	1	1
Salinispora pacifica	1	1
Salinispora tropica	1	1
Salmonella enterica		1
Sandaracinus amylolyticus	1	1
Sanguibacter keddieii	1	1
Sanguibacter marinus	1	1
Sanguibacter massiliensis	1	1
Schlegelella thermodepolymerans	1	1
Schlesneria paludicola		1
Sciscionella marina	1	1
Sciscionella sp. SE31	1	1
Scytonema hofmannii		1
Sediminibacterium ginsengisoli		1
Sediminibacterium salmoneum		1
Sediminibacterium sp. C3		1
Segetibacter koreensis		1
Selenomonas artemidis	1	
Selenomonas felix		1
Selenomonas flueggei		1
Selenomonas sp. oral taxon 136		1
Serinicoccus chungangensis	1	1
Serinicoccus hydrothermalis	1	1
Serpentinimonas maccroryi		1
Shewanella baltica		1
Shewanella decolorationis		1
Shinella sp. HZN7	1	1
Siccationidurans arizonensis		1
Sideroxydans lithotrophicus		1
Silanimonas lenta	1	1
Silvibacterium bohemicum	1	1
Simplicispira metamorpha	1	1
Simplicispira suum		1
Singulisphaera acidiphila	1	1
Sinimarinibacterium flocculans	1	1
Sinomonas atrocyanea	1	1
Sinomonas mesophila	1	1
Sinorhizobium americanum		1
Sinorhizobium fredii	1	1
Sinorhizobium medicae	1	1
Sinorhizobium meliloti	1	1
Sinorhizobium saheli	1	1
Sinorhizobium sp. RAC02		1
Sinosporangium album	1	1
Snodgrassella alvi		1
Solimonas aquatica	1	1
Solimonas flava	1	1
Solimonas soli	1	1
Solimonas variicoloris	1	1
Solirubrobacter pauli	1	1
Solirubrobacter soli	1	1
Solirubrobacter sp. URHD0082	1	1
Solirubrobacterales bacterium URHD0059	1	1
Sorangium cellulosum	1	1
Sphaerisporangium album	1	1
Sphaerisporangium cinnabarinum	1	1
Sphaerobacter thermophilus	1	1
Sphaerotilus hippei		1
Sphaerotilus natans	1	1
Sphingobium baderi		1
Sphingobium cloacae		1
Sphingobium cupriresistens		1
Sphingobium faniae		1
Sphingobium fuliginis		1
Sphingobium indicum		1
Sphingobium sp. AP50		1
Sphingobium sp. EP60837		1
Sphingobium sp. SYK-6		1
Sphingobium sp. TCM1		1
Sphingobium sp. TKS		1
Sphingobium sp. YBL2		1
Sphingobium sp. YG1		1
Sphingobium sp. Z007		1
Sphingobium yanoikuyae	1	1
Sphingomonas aerolata		1
Sphingomonas echinoides		1
Sphingomonas faeni		1
Sphingomonas hengshuiensis	1	1
Sphingomonas indica	1	1
Sphingomonas koreensis		1
Sphingomonas melonis		1
Sphingomonas palmae		1
Sphingomonas panacis		1
Sphingomonas phyllosphaerae		1
Sphingomonas sanxanigenens	1	1
Sphingomonas sp. Ant20		1
Sphingomonas sp. Cra20		1
Sphingomonas sp. FUKUSWIS1		1
Sphingomonas sp. IBVSS2		1
Sphingomonas sp. Leaf10		1
Sphingomonas sp. Leaf208		1
Sphingomonas sp. Leaf230		1
Sphingomonas sp. Leaf25		1
Sphingomonas sp. Leaf28		1
Sphingomonas sp. Leaf29		1
Sphingomonas sp. Leaf30		1
Sphingomonas sp. Leaf33		1
Sphingomonas sp. Leaf412		1
Sphingomonas sp. Leaf62		1
Sphingomonas sp. LK11		1
Sphingomonas sp. LM7		1
Sphingomonas sp. NFR15		1
Sphingomonas sp. NIC1		1
Sphingomonas sp. OV641		1
Sphingomonas sp. PAMC 26605		1
Sphingomonas sp. PAMC 26617		1
Sphingomonas sp. Root241		1
Sphingomonas sp. Root710		1
Sphingomonas sp. SKA58		1
Sphingomonas sp. STIS6.2		1
Sphingomonas sp. TDK1		1
Sphingomonas sp. TZW2008		1
Sphingomonas sp. URHD0057	1	1
Sphingomonas taxi		1
Sphingopyxis bauzanensis		1
Sphingopyxis lindanitolerans		1
Sphingopyxis macrogoltabida	1	1
Sphingopyxis sp. 113P3		1
Sphingopyxis sp. QXT-31		1
Sphingopyxis terrae		1
Sphingopyxis witflariensis		1
Sphingosinicella microcystinivorans	1	1
Spirosoma panaciterrae		1
Sporichthya polymorpha	1	1
Sporocytophaga myxococcoides		1
Stackebrandtia nassauensis	1	1
Staphylococcus aureus		1
Staphylococcus capitis		1
Staphylococcus caprae		1
Staphylococcus cohnii		1
Staphylococcus epidermidis		1
Staphylococcus equorum		1
Staphylococcus haemolyticus		1
Staphylococcus hominis		1
Staphylococcus pettenkoferi		1
Staphylococcus saprophyticus		1
Staphylococcus warneri		1
Staphylococcus xylosus		1
Stappia indica	1	1
Stappia sp. ES.058		1
Stappia stellulata	1	1
Starkeya novella	1	1
Stenotrophomonas acidaminiphila	1	1
Stenotrophomonas maltophilia	1	1
Stenotrophomonas pavanii		1
Stenotrophomonas rhizophila	1	1
Stenotrophomonas sp. CC120223-11		1
Stenotrophomonas sp. HMSC10F07		1
Stenotrophomonas sp. SKA14		1
Stenotrophomonas sp. WZN-1		1
Steroidobacter denitrificans	1	1
Stigmatella aurantiaca	1	1
Stomatobaculum longum	1	
Streptacidiphilus albus	1	1
Streptacidiphilus anmyonensis	1	1
Streptacidiphilus carbonis	1	1
Streptacidiphilus griseoplanus	1	1
Streptacidiphilus jiangxiensis	1	1
Streptacidiphilus melanogenes	1	1
Streptacidiphilus neutrinimicus	1	1
Streptococcus australis		1
Streptococcus dysgalactiae		1
Streptococcus gallolyticus		1
Streptococcus infantis		1
Streptococcus pasteurianus	1	1
Streptococcus sp. 2_1_36FAA	1	
Streptococcus sp. C300		1
Streptococcus sp. HMSC066E07	1	
Streptococcus sp. HMSC072D03		1
Streptococcus sp. HMSC077F03		1
Streptococcus sp. HMSC10A01	1	
Streptococcus sp. HMSC36C04	1	
Streptococcus sp. M334		1
Streptococcus sp. NLAE-zl-C503	1	
Streptococcus sp. NPS 308	1	
Streptococcus thermophilus		1
Streptomyces abyssalis	1	1
Streptomyces acidiscabies	1	1
Streptomyces actuosus	1	1
Streptomyces africanus	1	1
Streptomyces aidingensis	1	1
Streptomyces albireticuli	1	1
Streptomyces alboflavus	1	1
Streptomyces alboverticillatus	1	1
Streptomyces albulus	1	1
Streptomyces albus	1	1
Streptomyces alni	1	1
Streptomyces ambofaciens	1	1
Streptomyces angustmyceticus	1	1
Streptomyces antibioticus	1	1
Streptomyces atratus	1	1
Streptomyces atriruber	1	1
Streptomyces aurantiacus	1	1
Streptomyces auratus	1	1
Streptomyces aureocirculatus	1	1
Streptomyces aureus	1	1
Streptomyces avermitilis	1	1
Streptomyces bicolor	1	1
Streptomyces bungoensis	1	1
Streptomyces cacaoi	1	1
Streptomyces caeruleatus	1	1
Streptomyces canus	1	1
Streptomyces carpinensis	1	1
Streptomyces cattleya	1	1
Streptomyces cellostaticus	1	1
Streptomyces chartreusis	1	1
Streptomyces cinnamoneus	1	1
Streptomyces clavuligerus	1	1
Streptomyces collinus	1	1
Streptomyces curacoi	1	1
Streptomyces davaonensis	1	1
Streptomyces diastatochromogenes	1	1
Streptomyces durhamensis	1	1
Streptomyces exfoliatus	1	1
Streptomyces flavidovirens	1	1
Streptomyces flavovariabilis	1	1
Streptomyces formicae	1	1
Streptomyces gilvosporeus	1	1
Streptomyces glaucescens	1	1
Streptomyces glauciniger	1	1
Streptomyces globosus	1	1
Streptomyces graminilatus	1	1
Streptomyces griseochromogenes	1	1
Streptomyces griseoruber	1	1
Streptomyces griseorubiginosus	1	1
Streptomyces griseus	1	1
Streptomyces guanduensis	1	1
Streptomyces harbinensis	1	1
Streptomyces hirsutus	1	1
Streptomyces hundungensis	1	1
Streptomyces hyaluromycini	1	1
Streptomyces hygroscopicus	1	1
Streptomyces indicus	1	1
Streptomyces iranensis	1	1
Streptomyces jietaisiensis	1	1
Streptomyces kanamyceticus	1	1
Streptomyces kasugaensis	1	1
Streptomyces katrae	1	1
Streptomyces kebangsaanensis	1	1
Streptomyces lavendulae	1	1
Streptomyces lincolnensis	1	1
Streptomyces longwoodensis	1	1
Streptomyces lunaelactis	1	1
Streptomyces lushanensis	1	1
Streptomyces lydicus	1	1
Streptomyces mirabilis	1	1
Streptomyces monomycini	1	1
Streptomyces nanshensis	1	1
Streptomyces nigra	1	1
Streptomyces niveiscabiei	1	1
Streptomyces niveus	1	1
Streptomyces nodosus	1	1
Streptomyces noursei	1	1
Streptomyces oceani	1	1
Streptomyces olivochromogenes	1	1
Streptomyces olivoreticuli	1	1
Streptomyces pactum	1	1
Streptomyces parvulus	1	1
Streptomyces pathocidini	1	1
Streptomyces paucisporeus	1	1
Streptomyces peucetius	1	1
Streptomyces phaeochromogenes	1	1
Streptomyces phaeoluteigriseus	1	1
Streptomyces prasinopilosus	1	1
Streptomyces pristinaespiralis	1	1
Streptomyces puniciscabiei	1	1
Streptomyces purpureus	1	1
Streptomyces qaidamensis	1	1
Streptomyces qinglanensis	1	1
Streptomyces radiopugnans	1	1
Streptomyces resistomycificus	1	1
Streptomyces rhizosphaericus	1	1
Streptomyces rimosus	1	1
Streptomyces roseochromogenus	1	1
Streptomyces roseus	1	1
Streptomyces ruber	1	1
Streptomyces rubidus	1	1
Streptomyces scabiei	1	1
Streptomyces silvensis	1	1
Streptomyces sp. 142MFCol3.1	1	1
Streptomyces sp. 150FB	1	1
Streptomyces sp. 303MFCol5.2	1	1
Streptomyces sp. 3214.6	1	1
Streptomyces sp. 46	1	1
Streptomyces sp. AcH 505	1	1
Streptomyces sp. ATexAB-D23	1	1
Streptomyces sp. BoleA5	1	1
Streptomyces sp. CB00455	1	1
Streptomyces sp. CB01580	1	1
Streptomyces sp. CB01883	1	1
Streptomyces sp. CB02009	1	1
Streptomyces sp. CB02056	1	1
Streptomyces sp. CB02058	1	1
Streptomyces sp. CB02261	1	1
Streptomyces sp. CB02400	1	1
Streptomyces sp. CB02488	1	1
Streptomyces sp. CB02923	1	1
Streptomyces sp. CB03234	1	1
Streptomyces sp. CB03238	1	1
Streptomyces sp. CB03911	1	1
Streptomyces sp. CC53	1	1
Streptomyces sp. CdTB01	1	1
Streptomyces sp. cf386	1	1
Streptomyces sp. CNH099	1	1
Streptomyces sp. CNH287	1	1
Streptomyces sp. CNQ-509	1	1
Streptomyces sp. CNQ329	1	1
Streptomyces sp. CNS606	1	1
Streptomyces sp. CNT360	1	1
Streptomyces sp. CNT371	1	1
Streptomyces sp. CNT372	1	1
Streptomyces sp. CT34	1	1
Streptomyces sp. DSM 15324	1	1
Streptomyces sp. F-1	1	1
Streptomyces sp. HGB0020	1	1
Streptomyces sp. HmicA12	1	1
Streptomyces sp. ICBB 8177	1	1
Streptomyces sp. JV178	1	1
Streptomyces sp. KhCrAH-43	1	1
Streptomyces sp. LamerLS-316		1
Streptomyces sp. LaPpAH-108	1	1
Streptomyces sp. MBT76	1	1
Streptomyces sp. MP131-18	1	1
Streptomyces sp. MspMP-M5	1	1
Streptomyces sp. NBRC 109706	1	1
Streptomyces sp. NBRC 110027	1	1
Streptomyces sp. NBRC 110028	1	1
Streptomyces sp. NBRC 110611	1	1
Streptomyces sp. NBS 14/10	1	1
Streptomyces sp. NEAU	1	1
Streptomyces sp. NRRL B-24085	1	1
Streptomyces sp. NRRL F-6676	1	1
Streptomyces sp. NRRL S-118	1	1
Streptomyces sp. NRRL S-1896	1	1
Streptomyces sp. PsTaAH-137	1	1
Streptomyces sp. Root264	1	1
Streptomyces sp. Root431	1	1
Streptomyces sp. RTd22	1	1
Streptomyces sp. RV15	1	1
Streptomyces sp. SA15	1	1
Streptomyces sp. SBT349	1	1
Streptomyces sp. SceaMP-e96	1	1
Streptomyces sp. SM1	1	1
Streptomyces sp. TAA040	1	1
Streptomyces sp. TAA204	1	1
Streptomyces sp. TAA486	1	1
Streptomyces sp. TLI_053	1	1
Streptomyces sp. TN58	1	1
Streptomyces sp. TP-A0356	1	1
Streptomyces sp. TP-A0874	1	1
Streptomyces sp. TP-A0875	1	1
Streptomyces sp. TSRI0107	1	1
Streptomyces sp. TSRI0281	1	1
Streptomyces sp. URHA0041	1	1
Streptomyces sp. WM6386	1	1
Streptomyces sp. WMMB 322	1	1
Streptomyces sp. WMMB 714	1	1
Streptomyces sp. yr375	1	1
Streptomyces specialis	1	1
Streptomyces spongiicola	1	1
Streptomyces sulphureus	1	1
Streptomyces swartbergensis	1	1
Streptomyces tateyamensis	1	1
Streptomyces thermoautotrophicus	1	1
Streptomyces turgidiscabies		1
Streptomyces venezuelae	1	1
Streptomyces vietnamensis	1	1
Streptomyces violaceusniger	1	1
Streptomyces viridifaciens	1	1
Streptomyces viridochromogenes	1	1
Streptomyces viridosporus	1	1
Streptomyces vitaminophilus	1	1
Streptomyces wuyuanensis	1	1
Streptomyces xanthophaeus	1	1
Streptomyces xiamenensis	1	1
Streptomyces xinghaiensis	1	1
Streptomyces yanglinensis	1	1
Streptomyces yokosukanensis	1	1
Streptomycetaceae bacterium MP113-05	1	1
Streptosporangium canum	1	1
Streptosporangium roseum	1	1
Streptosporangium subroseum	1	1
Sulfuricaulis limicola	1	1
Sulfurifustis variabilis	1	1
Sulfurisoma sediminicola	1	1
Sulfuritalea hydrogenivorans	1	1
Symbiobacterium thermophilum	1	1
Tardibacter chloracetimidivorans		1
Tardiphaga sp. OK245	1	1
Tenacibaculum todarodis		1
Tepidimonas taiwanensis	1	1
Tepidiphilus thermophilus		1
Terrabacter sp. Soil810	1	1
Terracoccus sp. 273MFTsu3.1	1	1
Terriglobus roseus	1	1
Terriglobus saanensis		1
Tessaracoccus aquimaris	1	1
Tessaracoccus flavescens	1	1
Tessaracoccus flavus	1	1
Tessaracoccus sp. T2.5-30	1	1
Tetrasphaera australiensis	1	1
Tetrasphaera elongata	1	1
Tetrasphaera japonica	1	1
Tetrasphaera jenkinsii	1	1
Tetrasphaera sp. Soil756	1	1
Thauera aromatica		1
Thauera chlorobenzoica	1	1
Thauera humireducens	1	1
Thauera linaloolentis	1	1
Thauera sp. MZ1T	1	1
Thermaerobacter marianensis	1	1
Thermaerobacter subterraneus	1	1
Thermanaerovibrio velox		1
Thermithiobacillus tepidarius	1	1
Thermoactinospora rubra	1	1
Thermoanaerobacter wiegelii		1
Thermobifida cellulosilytica	1	1
Thermobifida fusca		1
Thermobifida halotolerans	1	1
Thermobispora bispora	1	1
Thermocrispum agreste	1	1
Thermocrispum municipale	1	1
Thermoflavifilum thermophilum		1
Thermoflexus hugenholtzii	1	1
Thermoleophilum album	1	1
Thermomonas haemolytica		1
Thermomonospora curvata	1	1
Thermopetrobacter sp. TC1	1	1
Thermus arciformis		1
Thermus brockianus		1
Thermus islandicus		1
Thermus parvatiensis		1
Thermus scotoductus		1
Thermus thermophilus		1
Thioalbus denitrificans	1	1
Thioalkalivibrio denitrificans	1	1
Thioalkalivibrio paradoxus	1	1
Thioalkalivibrio sulfidiphilus	1	1
Thiobacillus denitrificans	1	1
Thiobacillus thioparus		1
Thiocapsa sp. KS1	1	1
Thioflavicoccus mobilis	1	1
Thiohalobacter thiocyanaticus	1	1
Thiomonas delicata		1
Thiomonas intermedia		1
Thiomonas sp. FB-6	1	1
Thiomonas sp. X19		1
Tistlia consotensis	1	1
Tistrella mobilis	1	1
Treponema vincentii	1	
Trinickia caryophylli		1
Tropicimonas isoalkanivorans		1
Truepera radiovictrix	1	1
Tsukamurella sp. 1534	1	1
Tsukamurella tyrosinosolvens	1	1
Umezawaea tangerina	1	1
Undibacterium pigrum		1
Varibaculum cambriense		1
Variibacter gotjawalensis	1	1
Variovorax paradoxus	1	1
Variovorax sp. 770b2	1	1
Variovorax sp. CF079	1	1
Variovorax sp. EL159		1
Variovorax sp. HW608	1	1
Variovorax sp. OK605		1
Variovorax sp. PAMC 28711		1
Variovorax sp. PMC12		1
Variovorax sp. Root434		1
Variovorax sp. Root473		1
Variovorax sp. URHB0020	1	1
Variovorax sp. WDL1	1	1
Variovorax sp. YR266		1
Variovorax sp. YR750		1
Veillonella atypica		1
Veillonella dispar		1
Veillonella sp. 3_1_44		1
Veillonella sp. 6_1_27		1
Veillonella sp. DNF00869		1
Veillonella tobetsuensis		1
Veillonellaceae bacterium DNF00751		1
Verrucomicrobia bacterium		1
Verrucomicrobia bacterium IMCC26134	1	1
Verrucomicrobium sp. GAS474	1	1
Verrucomicrobium spinosum		1
Verrucosispora maris	1	1
Verrucosispora sediminis	1	1
Vibrio agarivorans		1
Vibrio campbellii		1
Vibrio fluvialis		1
Vibrio owensii		1
Vibrio parahaemolyticus		1
Vitreoscilla filiformis		1
Vogesella sp. LIG4		1
Vulgatibacter incomptus	1	1
Weissella viridescens	1	1
Wenxinia marina	1	1
Wenzhouxiangella marina		1
Williamsia marianensis		1
Williamsia sterculiae	1	1
Winogradskyella eximia		1
Winogradskyella thalassocola		1
Woeseia oceani	1	1
Xanthobacter autotrophicus	1	1
Xanthomonadaceae bacterium	1	1
Xanthomonas albilineans		1
Xanthomonas arboricola	1	1
Xanthomonas campestris	1	1
Xanthomonas hortorum		1
Xanthomonas sacchari	1	1
Xanthomonas sp. Mitacek01	1	1
Xanthomonas translucens	1	1
Xenophilus azovorans	1	1
Xiangella phaseoli	1	1
Xylanimonas cellulosilytica	1	1
Xylophilus sp. Leaf220		1
Yangia pacifica	1	1
Yersinia frederiksenii		1
Yersinia pseudotuberculosis		1
Yersinia wautersii	1	
Yuhushiella deserti	1	1
Zavarzinella formosa	1	1
