Sample Name	Reads	Reads Mapped	Endogenous DNA (%)	Reads Mapped	Endogenous DNA Post (%)	% Dups	5 Prime C>T 1st base	5 Prime C>T 2nd base	Mean read length	Median read length	Aligned	Mean cov	Median cov	? 1X	? 2X	? 3X	? 4X	? 5X	% GC	SNPs	% Hets
HCLVMBCX2-3505-28-00-01_S28	"7,059,587"	"16,626"	0.24	"16,626"	0.24	47.60%	50.90%	28.20%	41.31bp	39.00bp	"8,720"	0.1X	0.0X	9.10%	1.00%	0.10%	0.10%	0.00%	55%	1	0
NMU115.A0101	"10,204,581"	"435,003"	4.26	"435,003"	4.26	6.20%	4.40%	0.90%	48.53bp	43.00bp	"407,888"	5.8X	6.0X	90.30%	87.10%	82.00%	74.50%	64.70%	50%	"11,396"	13.6
NMU117.A0101	"11,228,631"	"176,828"	1.57	"176,828"	1.57	4.10%	4.90%	1.00%	50.91bp	46.00bp	"169,511"	2.5X	2.0X	80.80%	63.70%	45.00%	28.40%	16.40%	51%	"2,449"	7.3
NMU118.A0101	"10,760,762"	"58,047"	0.54	"58,047"	0.54	3.80%	3.40%	1.10%	48.58bp	43.00bp	"55,837"	0.8X	1.0X	50.90%	19.50%	5.70%	1.40%	0.30%	49%	59	15.3
NMU119.A0101	"10,942,124"	"38,566"	0.35	"38,566"	0.35	6.00%	4.20%	1.00%	48.32bp	43.00bp	"36,238"	0.5X	0.0X	37.10%	10.10%	2.10%	0.40%	0.10%	51%	22	9.1
NMU120.A0101	"13,762,755"	"41,500"	0.3	"41,500"	0.3	6.20%	3.20%	1.40%	46.14bp	42.00bp	"38,942"	0.5X	0.0X	38.00%	10.00%	2.00%	0.40%	0.10%	50%	16	50
NMU121.A0101	"11,085,379"	"202,764"	1.83	"202,764"	1.83	4.70%	2.40%	0.80%	60.40bp	55.00bp	"193,141"	3.4X	3.0X	84.00%	73.70%	59.40%	43.80%	29.80%	51%	"5,457"	4.7
NMU122.A0101	"11,904,227"	"436,783"	3.67	"436,783"	3.67	6.70%	4.90%	0.90%	49.45bp	44.00bp	"407,377"	5.9X	6.0X	89.00%	85.90%	81.50%	75.00%	66.00%	50%	"12,524"	7.8
NMU123.A0101	"6,490,410"	"56,048"	0.86	"56,048"	0.86	2.80%	4.30%	1.00%	45.92bp	42.00bp	"54,474"	0.7X	0.0X	48.50%	17.40%	4.80%	1.10%	0.30%	49%	66	3
NMU124.A0101	"11,144,570"	"44,220"	0.4	"44,220"	0.4	3.90%	6.40%	1.30%	47.33bp	42.00bp	"42,476"	0.6X	0.0X	40.80%	12.40%	3.10%	0.80%	0.30%	50%	43	18.6
