Species
[Actinopolyspora] iraqiensis
Bradyrhizobium diazoefficiens
Bradyrhizobium elkanii
Bradyrhizobium erythrophlei
Bradyrhizobium forestalis
Bradyrhizobium icense
Bradyrhizobium japonicum
Bradyrhizobium jicamae
Bradyrhizobium lablabi
Bradyrhizobium macuxiense
Bradyrhizobium manausense
Bradyrhizobium neotropicale
Bradyrhizobium nitroreducens
Bradyrhizobium oligotrophicum
Bradyrhizobium ottawaense
Bradyrhizobium pachyrhizi
Bradyrhizobium sacchari
Bradyrhizobium sp.
Bradyrhizobium sp. Ai1a-2
Bradyrhizobium sp. AT1
Bradyrhizobium sp. BTAi1
Bradyrhizobium sp. cf659
Bradyrhizobium sp. Cp5.3
Bradyrhizobium sp. DOA9
Bradyrhizobium sp. Ec3.3
Bradyrhizobium sp. Gha
Bradyrhizobium sp. Ghvi
Bradyrhizobium sp. LTSP849
Bradyrhizobium sp. LTSP857
Bradyrhizobium sp. LTSP885
Bradyrhizobium sp. LTSPM299
Bradyrhizobium sp. ORS 278
Bradyrhizobium sp. ORS 285
Bradyrhizobium sp. ORS 3257
Bradyrhizobium sp. ORS 375
Bradyrhizobium sp. R5
Bradyrhizobium sp. Rc2d
Bradyrhizobium sp. S23321
Bradyrhizobium sp. STM 3843
Bradyrhizobium sp. th.b2
Bradyrhizobium sp. URHA0002
Bradyrhizobium sp. URHD0069
Bradyrhizobium sp. WSM1743
Bradyrhizobium sp. WSM2254
Bradyrhizobium sp. WSM3983
Bradyrhizobium symbiodeficiens
Bradyrhizobium valentinum
Bradyrhizobium yuanmingense
Brevibacterium album
Brevibacterium celere
Brevibacterium epidermidis
Brevibacterium luteolum
Brevibacterium sandarakinum
Brevibacterium sanguinis
Brevibacterium senegalense
Brevundimonas diminuta
Brevundimonas naejangsanensis
Brevundimonas sp. DS20
Brevundimonas sp. GW460-12-10-14-LB2
Brevundimonas sp. Leaf168
Brevundimonas sp. Root1423
Brevundimonas vesicularis
Brucella anthropi
Brucella intermedia
Brucella pituitosa
Brucella pseudogrignonensis
Burkholderia cenocepacia
Burkholderia cepacia
Burkholderia contaminans
Burkholderia gladioli
Burkholderia glumae
Burkholderia multivorans
Burkholderia pseudomallei
Burkholderia sp. CQ001
Burkholderia stabilis
Burkholderia thailandensis
Burkholderia ubonensis
Burkholderiales bacterium
Burkholderiales bacterium GJ-E10
Burkholderiales bacterium JOSHI_001
Butyrivibrio fibrisolvens
Butyrivibrio hungatei
Butyrivibrio sp. ob235
Caenispirillum bisanense
Caldibacillus thermoamylovorans
Calidithermus chliarophilus
Candidatus Accumulibacter phosphatis
Candidatus Blastococcus massiliensis
Candidatus Dactylopiibacterium carminicum
Candidatus Dorea massiliensis
Candidatus Koribacter versatilis
Candidatus Methanoplasma termitum
Candidatus Microthrix parvicella
Candidatus Nitrospira inopinata
Candidatus Promineofilum breve
Candidatus Solibacter usitatus
Candidatus Streptomyces philanthi
Canicola haemoglobinophilus
Capnocytophaga haemolytica
Carnobacterium inhibens
Carnobacterium maltaromaticum
Carnobacterium sp. CP1
Castellaniella defragrans
Catelliglobosispora koreensis
Catenulispora acidiphila
Caulobacter henricii
Caulobacter mirabilis
Caulobacter sp. Root655
Caulobacter sp. UNC358MFTsu5.1
Caulobacter vibrioides
Caulobacteraceae bacterium OTSz_A_272
Cellulomonas fimi
Cellulomonas flavigena
Cellulomonas gilvus
Cellulomonas massiliensis
Cellulomonas sp. A375-1
Cellulomonas sp. KH9
Cellulomonas sp. Leaf395
Cellulomonas sp. PSBB021
Cellulomonas sp. Root137
Cellulomonas sp. URHD0024
Cellulosimicrobium cellulans
Cellulosimicrobium sp. TH-20
Cereibacter sphaeroides
Chelativorans sp. J32
Chelatococcus asaccharovorans
Chelatococcus sp. CO-6
Chitinimonas koreensis
Chitiniphilus shinanonensis
Chondromyces crocatus
Chryseobacterium indoltheticum
Chryseobacterium scophthalmum
Chthoniobacter flavus
Citrobacter braakii
Citrobacter freundii
Citrobacter gillenii
Citrobacter koseri
Citrobacter portucalensis
Citrobacter werkmanii
Clavibacter michiganensis
Clostridium baratii
Clostridium neonatale
Clostridium perfringens
Clostridium phoceensis
Clostridium septicum
Clostridium sp. ATCC BAA-442
Clostridium sp. SN20
Clostridium sp. SY8519
Cnuibacter physcomitrellae
Collinsella bouchesdurhonensis
Collinsella intestinalis
Collinsella provencensis
Collinsella tanakaei
Collinsella vaginalis
Comamonadaceae bacterium URHA0028
Comamonas kerstersii
Comamonas thiooxydans
Conchiformibius kuhniae
Conchiformibius steedae
Conexibacter woesei
Corallococcus coralloides
Coriobacterium glomerans
Corynebacterium casei
Corynebacterium glutamicum
Corynebacterium stationis
Corynebacterium terpenotabidum
Crossiella equi
Cryptosporangium arvum
Cryptosporangium aurantiacum
Cupriavidus gilardii
Cupriavidus necator
Cupriavidus oxalaticus
Cupriavidus plantarum
Cupriavidus taiwanensis
Curtobacterium sp. S6
Cystobacter fuscus
Cytobacillus eiseniae
Dechloromonas denitrificans
Deinococcus ficus
Deinococcus pimensis
Delftia acidovorans
Delftia sp. K82
Derxia gummosa
Desulfocurvus vexinensis
Desulfovibrio desulfuricans
Desulfovibrio fairfieldensis
Desulfovibrio legallii
Desulfovibrio piger
Desulfovibrio sp. 6_1_46AFAA
Desulfovibrio vulgaris
Dethiosulfovibrio salsuginis
Devosia crocina
Devosia enhydra
Devosia sp. 17-2-E-8
Devosia sp. A16
Devosia sp. H5989
Devosia sp. Root105
Devosia sp. Root413D1
Dialister pneumosintes
Dialister succinatiphilus
Diaphorobacter polyhydroxybutyrativorans
Dietzia cinnamea
Dietzia lutea
Dietzia psychralcaliphila
Dietzia sp. HMSC21D01
Dietzia sp. oral taxon 368
Dietzia sp. UCD-THP
Dokdonella immobilis
Dokdonella koreensis
Dongia sp. URHE0060
Duganella sp. CF402
Duganella sp. CF517
Dyella japonica
Dyella jiangningensis
Dyella thiooxydans
Edaphobacillus lindanitolerans
Edaphobacter aggregans
Eikenella sp. HMSC073A11
Elioraea tepidiphila
Embleya scabrispora
Empedobacter brevis
Enhydrobacter aerosaccus
Enorma massiliensis
Enorma phocaeensis
Ensifer aridi
Ensifer sp. BR816
Ensifer sp. ZNC0028
Enterobacter asburiae
Enterobacter mori
Enterobacter sp. 638
Enterococcus devriesei
Enterococcus faecalis
Enterococcus sp. 6C8_DIV0013
Ereboglobus luteus
Erysipelothrix rhusiopathiae
Erysipelothrix tonsillarum
Erythrobacter sp. SG61-1L
Euzebya sp. DY32-46
Exiguobacterium marinum
Exiguobacterium profundum
Exiguobacterium sp. AT1b
Exiguobacterium sp. HVEsp1
Exiguobacterium sp. JLM-2
Exiguobacterium sp. Leaf196
Fermentimonas caenicola
Firmicutes bacterium ASF500
Flavobacterium johnsoniae
Flavonifractor plautii
Fontimonas thermophila
Fournierella massiliensis
Frankia coriariae
Frankia discariae
Frankia elaeagni
Frankia inefficax
Frankia saprophytica
Frankia sp. DC12
Frankia sp. EAN1pec
Frankia sp. QA3
Frankiales bacterium
Frankineae bacterium MT45
Frateuria sp. Soil773
Frateuria terrea
Friedmanniella flava
Friedmanniella luteola
Friedmanniella sagamiharensis
Frigidibacter mobilis
Frigoribacterium sp. Leaf164
Fulvimonas soli
Fusicatenibacter saccharivorans
Fusobacterium massiliense
Fusobacterium russii
Gallibacterium anatis
Gardnerella vaginalis
Geminicoccus roseus
Gemmata obscuriglobus
Gemmata sp. SH-PL17
Gemmatimonas aurantiaca
Gemmatimonas phototrophica
Gemmatirosa kalamazoonesis
Gemmobacter nectariphilus
Geodermatophilaceae bacterium URHA0031
Geodermatophilaceae bacterium URHB0062
Geodermatophilus africanus
Geodermatophilus amargosae
Geodermatophilus nigrescens
Geodermatophilus obscurus
Geodermatophilus poikilotrophus
Geodermatophilus ruber
Geodermatophilus sabuli
Geodermatophilus saharensis
Geodermatophilus siccatus
Geodermatophilus sp. DSM 44511
Geodermatophilus telluris
Geodermatophilus tzadiensis
Georgenia satyanarayanai
Geothrix fermentans
Glaciibacter superstes
Glaesserella parasuis
Glaesserella sp. 15-184
Glutamicibacter arilaitensis
Glutamicibacter halophytocola
Glutamicibacter nicotianae
Glycomyces arizonensis
Glycomyces artemisiae
Glycomyces harbinensis
Glycomyces sambucus
Glycomyces tenuis
Gordonia bronchialis
Gordonia iterans
Gordonia phthalatica
Gordonia polyisoprenivorans
Gordonia shandongensis
Gordonia sp. IITR100
Gordonia sp. QH-12
Gordonia terrae
Granulicella mallensis
Granulicella tundricola
Granulicoccus phenolivorans
Gryllotalpicola ginsengisoli
Haemophilus influenzae
Haemophilus massiliensis
Haemophilus paracuniculus
Haemophilus parahaemolyticus
Haemophilus paraphrohaemolyticus
Haemophilus pittmaniae
Haemophilus sp. oral taxon 036
Hafnia alvei
Haliangium ochraceum
Hallella seregens
Hamadaea tsunoensis
Hartmannibacter diazotrophicus
Hephaestia caeni
Herbiconiux ginsengi
Herbidospora cretacea
Herbidospora daliensis
Herbidospora mongoliensis
Herbidospora sakaeratensis
Herbidospora yilanensis
Hoeflea marina
Hoeflea olei
Hoeflea sp. 108
Humitalea rosea
Hydrocarboniphaga daqingensis
Hydrogenophaga sp. PBC
Hydrogenophaga sp. PML113
Hydrogenophilus thermoluteolus
Hyphomicrobium denitrificans
Hyphomicrobium nitrativorans
Hyphomicrobium sp. 99
Hyphomicrobium sp. MC1
Hyphomicrobium sulfonivorans
Hyphomicrobium zavarzinii
Ignatzschineria larvae
Immundisolibacter cernigliae
Inquilinus limosus
Intestinimonas butyriciproducens
Intestinimonas massiliensis
Intrasporangiaceae bacterium URHB0013
Intrasporangium calvum
Isoptericola dokdonensis
Isoptericola variabilis
Isosphaera pallida
Janibacter indicus
Janibacter melonis
Janibacter sp. HTCC2649
Janthinobacterium sp. CG3
Jatrophihabitans sp. GAS493
Jeongeupia sp. USM3
Jeotgalicoccus halotolerans
Jeotgalicoccus psychrophilus
Jiangella alba
Jiangella alkaliphila
Jiangella gansuensis
Jiangella muralis
Jiangella sp. DSM 45060
Kaistia adipata
Kaistia soli
Kallipyga massiliensis
Kibdelosporangium aridum
Kibdelosporangium phytohabitans
Kibdelosporangium sp. MJ126-NF4
Kineococcus radiotolerans
Kineosporia sp. R_H_3
Kingella negevensis
Kitasatospora albolonga
Kitasatospora cheerisanensis
Kitasatospora setae
Kitasatospora sp. CB01950
Kitasatospora sp. MBT63
Kitasatospora sp. MBT66
Kitasatospora sp. Root107
Kitasatospora sp. SolWspMP-SS2h
Klebsiella aerogenes
Klebsiella oxytoca
Klebsiella pneumoniae
Kluyvera intermedia
Kocuria rhizophila
Kocuria sp. BT304
Kocuria sp. CNJ-770
Kocuria sp. UCD-OTCP
Kocuria turfanensis
Krasilnikoviella flava
Kribbella flavida
Ktedonobacter racemifer
Kurthia massiliensis
Kurthia senegalensis
Kurthia sp. 11kri321
Kurthia sp. Dielmo
Kutzneria albida
Kutzneria sp. 744
Lachnospiraceae bacterium C10
Lachnospiraceae bacterium NK3A20
Lachnospiraceae bacterium XPB1003
Lactiplantibacillus plantarum
Lactococcus piscium
Lacunisphaera limnophila
Lancefieldella rimae
Lechevalieria atacamensis
Lechevalieria deserti
Lechevalieria fradiae
Lechevalieria xinjiangensis
Leclercia adecarboxylata
Leclercia sp. LSNIH1
Lederbergia lentus
Leifsonia aquatica
Leifsonia sp. 21MFCrub1.1
Leifsonia xyli
Lelliottia amnigena
Lelliottia jeotgali
Lentzea aerocolonigenes
Lentzea albida
Lentzea albidocapillata
Lentzea flaviverrucosa
Lentzea guizhouensis
Lentzea jiangxiensis
Lentzea kentuckyensis
Lentzea violacea
Lentzea waywayandensis
Leptothrix cholodnii
Leucobacter chromiiresistens
Leucobacter sp. UCD-THU
Leuconostoc citreum
Limimonas halophila
Limnochorda pilosa
Longispora albida
Luteibacter sp. UNCMF331Sha3.1
Luteimonas abyssi
Luteimonas chenhongjianii
Luteimonas mephitis
Luteimonas sp. J29
Luteipulveratus mongoliensis
Luteitalea pratensis
Lysinibacillus contaminans
Lysinibacillus fusiformis
Lysinibacillus macroides
Lysinibacillus sp. AR18-8
Lysinibacillus sp. FJAT-14745
Lysinibacillus sp. YS11
Lysinibacillus sp. ZYM-1
Lysinibacillus sphaericus
Lysinibacillus xylanilyticus
Lysinimicrobium aestuarii
