#Supplementary Table S10																											
#Human DNA validation statistics for all samples																											
SampleID	Dataset	Sample Type	Raw Reads	Reads Post Clip And Merge	Human Reads Pre Strict	Human Reads Post Strict	Prop Pass Strict Map	Perc Endo Pre Strict	Perc Endo Post Strict	Hum Node Pre Strict 85ID	Hum Node Post Strict 90ID	Prop Human Strict Map At Node	Cluster Factor Pre Strict	Cluster Factor Post Strict	Percent Clonality Pre Strict	Position1 5prime C to T Pre Strict	Position1 5prime C to T Post Strict Trimmed	Position1 5prime C to T Post Strict Untrimmed	Difference In Damage Pre To Post	PreStrict_DeltaD	PreStrict_DeltaS	PreStrict_Lambda	chrMT Reads Circular Mapper	chrMT Coverage Circular Mapper	chrMT Mean Contam	chrMT Min Contam	chrMT Max Contam
KT04	Regional	calculus	4553768	4374085	6594	2916	44.22	0.15	0.07	4533	2539	87.07	1.036	1.000	37.85	0.24	0.06	0.18	-0.06	0.03	0.64	0.34	6.00	0.02	NA	NA	NA
KT05	Regional	calculus	4667356	4379057	2771	724	26.13	0.06	0.02	1023	634	87.57	1.094	1.000	60.95	0.17	0.01	0.17	0.00	0.01	0.41	0.38	3.00	0.01	NA	NA	NA
KT06	Regional	calculus	5886164	5624929	19701	11998	60.90	0.35	0.21	15198	10407	86.74	1.027	1.000	28.38	0.13	0.03	0.10	-0.03	0.01	0.36	0.34	1.00	0.00	NA	NA	NA
KT07	Regional	calculus	5282583	5078760	6573	2893	44.01	0.13	0.06	4446	2536	87.66	1.036	1.000	40.12	0.21	0.03	0.19	-0.03	0.02	0.51	0.27	8.00	0.02	NA	NA	NA
KT08	Regional	calculus	4600075	4433489	6238	2792	44.76	0.14	0.06	4404	2455	87.93	1.035	1.000	36.87	0.19	0.04	0.15	-0.04	0.04	0.42	0.29	2.00	0.00	NA	NA	NA
KT09	Regional	calculus	4707428	4501061	6930	3381	48.79	0.15	0.08	4590	2953	87.34	1.035	1.000	38.89	0.19	0.02	0.14	-0.05	0.01	0.59	0.40	1.00	0.00	NA	NA	NA
KT10	Regional	calculus	4859064	4617930	2828	897	31.72	0.06	0.02	1128	788	87.85	1.090	1.000	58.45	0.03	0.02	0.01	-0.02	0.00	0.15	0.36	1.00	0.00	NA	NA	NA
KT11	Regional	calculus	4542147	4316220	4087	1530	37.44	0.09	0.04	2091	1324	86.54	1.050	1.000	50.18	0.22	0.02	0.18	-0.04	0.02	0.61	0.41	0.00	0.00	NA	NA	NA
KT12	Regional	calculus	3807537	3638561	2246	705	31.39	0.06	0.02	918	616	87.38	1.068	1.000	58.73	0.08	0.01	0.06	-0.02	0.01	0.33	0.33	0.00	0.00	NA	NA	NA
KT13	Regional	calculus	4178637	3979576	3522	1467	41.65	0.09	0.04	2016	1277	87.05	1.043	1.000	45.40	0.15	0.02	0.11	-0.04	0.02	0.37	0.32	0.00	0.00	NA	NA	NA
KT14	Regional	calculus	4825668	4646770	2378	493	20.73	0.05	0.01	726	424	86.00	1.147	1.000	69.01	0.17	0.04	0.14	-0.03	0.03	0.47	0.33	0.00	0.00	NA	NA	NA
KT15	Regional	calculus	7618554	7301967	21482	12568	58.50	0.29	0.17	16244	11059	87.99	1.033	1.000	30.34	0.15	0.02	0.12	-0.03	0.01	0.38	0.34	4.00	0.01	NA	NA	NA
KT16	Regional	calculus	4005185	3818784	3247	1085	33.42	0.09	0.03	1492	963	88.76	1.090	1.000	55.40	0.21	0.02	0.14	-0.07	0.02	0.61	0.45	2.00	0.01	NA	NA	NA
KT17	Regional	calculus	3659112	3495140	2985	1146	38.39	0.09	0.03	1725	995	86.82	1.048	1.000	46.20	0.20	0.04	0.16	-0.04	0.02	0.43	0.28	1.00	0.00	NA	NA	NA
