Species
Bradyrhizobium sp. WSM1743
Bradyrhizobium sp. WSM2254
Bradyrhizobium sp. WSM2793
Bradyrhizobium sp. WSM3983
Bradyrhizobium sp. WSM4349
Bradyrhizobium sp. WSM471
Bradyrhizobium symbiodeficiens
Bradyrhizobium valentinum
Bradyrhizobium yuanmingense
Brevibacterium aurantiacum
Brevibacterium luteolum
Brevibacterium paucivorans
Brevibacterium senegalense
Brevundimonas aveniformis
Brevundimonas bacteroides
Brevundimonas bullata
Brevundimonas diminuta
Brevundimonas naejangsanensis
Brevundimonas sp. BAL3
Brevundimonas sp. DS20
Brevundimonas sp. GW460-12-10-14-LB2
Brevundimonas sp. Leaf168
Brevundimonas sp. LM2
Brevundimonas sp. Root1423
Brevundimonas subvibrioides
Brevundimonas vesicularis
Brucella anthropi
Buchananella hordeovulneris
Burkholderia ambifaria
Burkholderia anthina
Burkholderia cenocepacia
Burkholderia cepacia
Burkholderia contaminans
Burkholderia diffusa
Burkholderia gladioli
Burkholderia glumae
Burkholderia lata
Burkholderia latens
Burkholderia mayonis
Burkholderia metallica
Burkholderia multivorans
Burkholderia oklahomensis
Burkholderia pseudomallei
Burkholderia pseudomultivorans
Burkholderia pyrrocinia
Burkholderia sp. A2
Burkholderia sp. Bp7605
Burkholderia sp. Ch1-1
Burkholderia sp. IDO3
Burkholderia sp. K24
Burkholderia sp. MSMB0856
Burkholderia sp. UYPR1.413
Burkholderia stabilis
Burkholderia stagnalis
Burkholderia territorii
Burkholderia thailandensis
Burkholderia ubonensis
Burkholderia vietnamiensis
Burkholderiaceae bacterium 26
Burkholderiales bacterium
Burkholderiales bacterium GJ-E10
Burkholderiales bacterium JOSHI_001
Caballeronia insecticola
Caenimonas sp. SL110
Caenispirillum bisanense
Calidithermus chliarophilus
Campylobacter pinnipediorum
Campylobacter ureolyticus
Candidatus Accumulibacter phosphatis
Candidatus Blastococcus massiliensis
Candidatus Gracilibacteria bacterium HOT-871
Candidatus Koribacter versatilis
Candidatus Methylopumilus turicensis
Candidatus Microthrix parvicella
Candidatus Nitrospira inopinata
Candidatus Planktophila dulcis
Candidatus Planktophila sulfonica
Candidatus Planktophila vernalis
Candidatus Planktophila versatilis
Candidatus Promineofilum breve
Candidatus Rhodoluna planktonica
Candidatus Solibacter usitatus
Candidatus Viadribacter manganicus
Carnobacterium inhibens
Castellaniella defragrans
Catelliglobosispora koreensis
Catenulispora acidiphila
Caulobacter flavus
Caulobacter henricii
Caulobacter mirabilis
Caulobacter segnis
Caulobacter sp. FWC26
Caulobacter sp. Root1472
Caulobacter sp. Root487D2Y
Caulobacter sp. Root655
Caulobacter sp. UNC358MFTsu5.1
Caulobacter sp. URHA0033
Caulobacter vibrioides
Caulobacteraceae bacterium OTSz_A_272
Cellulomonas fimi
Cellulomonas flavigena
Cellulomonas gilvus
Cellulomonas massiliensis
Cellulomonas sp. A375-1
Cellulomonas sp. KH9
Cellulomonas sp. Leaf395
Cellulomonas sp. PSBB021
Cellulomonas sp. Root137
Cellulomonas sp. URHD0024
Cellulosimicrobium cellulans
Cellvibrio mixtus
Cellvibrio sp. BR
Cellvibrio sp. pealriver
Cereibacter changlensis
Cereibacter sphaeroides
Chelativorans sp. J32
Chelatococcus asaccharovorans
Chelatococcus sp. CO-6
Chitinibacter sp. ZOR0017
Chitinimonas koreensis
Chitiniphilus shinanonensis
Chitinophaga eiseniae
Chitinophaga terrae (ex Kim and Jung 2007)
Chitinophagaceae bacterium IBVUCB2
Chlamydia abortus
Chlamydia psittaci
Chlorobaculum limnaeum
Chondromyces crocatus
Christensenella intestinihominis
Chryseobacterium defluvii
Chryseobacterium indoltheticum
Chryseobacterium sp. ERMR1:04
Chryseobacterium timonianum
Chthoniobacter flavus
Citrobacter amalonaticus
Citrobacter koseri
Clavibacter michiganensis
Cloacibacterium normanense
Clostridium perfringens
Clostridium sp. SN20
Cnuella takakiae
Cnuibacter physcomitrellae
Collimonas arenae
Collimonas pratensis
Collimonas sp. OK242
Collimonas sp. OK307
Collinsella intestinalis
Collinsella vaginalis
Comamonadaceae bacterium URHA0028
Comamonas aquatica
Comamonas serinivorans
Comamonas sp. B-9
Comamonas testosteroni
Conexibacter woesei
Corallococcus coralloides
Corynebacterium accolens
Corynebacterium aurimucosum
Corynebacterium casei
Corynebacterium diphtheriae
Corynebacterium efficiens
Corynebacterium fournieri
Corynebacterium genitalium
Corynebacterium glucuronolyticum
Corynebacterium glutamicum
Corynebacterium glyciniphilum
Corynebacterium halotolerans
Corynebacterium ihumii
Corynebacterium jeikeium
Corynebacterium kroppenstedtii
Corynebacterium maris
Corynebacterium otitidis
Corynebacterium pseudogenitalium
Corynebacterium pyruviciproducens
Corynebacterium sp. HMSC034A01
Corynebacterium sp. HMSC04H06
Corynebacterium sp. HMSC05H05
Corynebacterium stationis
Corynebacterium striatum
Corynebacterium terpenotabidum
Corynebacterium tuscaniense
Corynebacterium ureicelerivorans
Corynebacterium urinipleomorphum
Corynebacterium variabile
Corynebacterium xerosis
Croceicoccus marinus
Crossiella equi
Cryobacterium psychrotolerans
Cryocola sp. 340MFSha3.1
Cryptosporangium arvum
Cryptosporangium aurantiacum
Cupriavidus basilensis
Cupriavidus gilardii
Cupriavidus metallidurans
Cupriavidus necator
Cupriavidus oxalaticus
Cupriavidus plantarum
Cupriavidus sp. YR651
Cupriavidus taiwanensis
Curtobacterium sp. B18
Curtobacterium sp. B8
Curtobacterium sp. MR_MD2014
Curvibacter gracilis
Curvibacter lanceolatus
Curvibacter sp. AEP1-3
Curvibacter sp. PAE-UM
Cutibacterium acnes
Cutibacterium granulosum
Cystobacter fuscus
Cytophaga aurantiaca
Cytophaga hutchinsonii
Dechloromonas agitata
Dechloromonas aromatica
Dechloromonas denitrificans
Deinococcus pimensis
Deinococcus reticulitermitis
Delftia acidovorans
Delftia sp. Cs1-4
Delftia sp. HK171
Dermacoccus sp. Ellin185
Derxia gummosa
Desulfamplus magnetovallimortis
Desulfocarbo indianensis
Desulfomicrobium escambiense
Desulfosporosinus youngiae
Desulfovibrio legallii
Desulfovibrio piger
Devosia enhydra
Devosia sp. A16
Devosia sp. H5989
Devosia sp. Root105
Devosia sp. Root413D1
Devosia sp. Root436
Devosia sp. Root635
Dialister pneumosintes
Dietzia cinnamea
Dietzia sp. UCD-THP
Dietzia timorensis
Dokdonella immobilis
Dokdonella koreensis
Dolosigranulum pigrum
Dongia sp. URHE0060
Duganella sp. CF402
Duganella sp. CF458
Duganella sp. CF517
Duganella zoogloeoides
Dyadobacter jejuensis
Dyadobacter jiangsuensis
Dyadobacter koreensis
Dyadobacter psychrophilus
Dyella japonica
Dyella jiangningensis
Dyella monticola
Dyella psychrodurans
Dyella solisilvae
Dyella sp. AtDHG13
Dyella thiooxydans
Edaphobacter aggregans
Eikenella sp. HMSC071B05
Elioraea tepidiphila
Embleya scabrispora
Emticicia sp. MM
Endomicrobium proavitum
Enhydrobacter aerosaccus
Enorma massiliensis
Enorma phocaeensis
Ensifer aridi
Ensifer sojae
Ensifer sp. BR816
Enterobacter hormaechei
Enterobacter ludwigii
Enterobacter sp. 9-2
Enterobacteriaceae bacterium ATCC 29904
Enterococcus faecium
Epilithonimonas bovis
Epilithonimonas caeni
Ereboglobus luteus
Erwinia gerundensis
Erwinia persicina
Erythrobacter colymbi
Erythrobacter neustonensis
Erythrobacter sp. HL-111
Escherichia coli
Eubacterium pyruvativorans
Euzebya sp. DY32-46
Extensimonas vulgaris
Faecalibacterium prausnitzii
Fannyhessea vaginae
Filimonas lacunae
Fimbriimonas ginsengisoli
Finegoldia magna
Flavobacteriaceae bacterium
Flavobacteriaceae bacterium 3519-10
Flavobacterium aciduliphilum
Flavobacterium anhuiense
Flavobacterium aquaticum
Flavobacterium aquatile
Flavobacterium aquicola
Flavobacterium araucananum
Flavobacterium branchiophilum
Flavobacterium caeni
Flavobacterium columnare
Flavobacterium commune
Flavobacterium crassostreae
Flavobacterium cutihirudinis
Flavobacterium daejeonense
Flavobacterium defluvii
Flavobacterium degerlachei
Flavobacterium denitrificans
Flavobacterium endophyticum
Flavobacterium faecale
Flavobacterium filum
Flavobacterium flevense
Flavobacterium frigidarium
Flavobacterium frigoris
Flavobacterium gelidilacus
Flavobacterium gilvum
Flavobacterium glaciei
Flavobacterium glycines
Flavobacterium haoranii
Flavobacterium hercynium
Flavobacterium hibernum
Flavobacterium hydatis
Flavobacterium indicum
Flavobacterium johnsoniae
Flavobacterium kingsejongi
Flavobacterium lacus
Flavobacterium lindanitolerans
Flavobacterium micromati
Flavobacterium noncentrifugens
Flavobacterium omnivorum
Flavobacterium oncorhynchi
Flavobacterium pectinovorum
Flavobacterium phragmitis
Flavobacterium piscis
Flavobacterium plurextorum
Flavobacterium psychrophilum
Flavobacterium reichenbachii
Flavobacterium saliperosum
Flavobacterium sasangense
Flavobacterium segetis
Flavobacterium sinopsychrotolerans
Flavobacterium soli
Flavobacterium sp. 316
Flavobacterium sp. ASV13
Flavobacterium sp. CF108
Flavobacterium sp. ov086
Flavobacterium sp. Root186
Flavobacterium sp. Root420
Flavobacterium sp. Root901
Flavobacterium sp. Root935
Flavobacterium sp. URHB0058
Flavobacterium succinicans
Flavobacterium suncheonense
Flavobacterium tegetincola
Flavobacterium terrigena
Flavobacterium urumqiense
Flavobacterium xinjiangense
Flavobacterium xueshanense
Flectobacillus major
Fluviicola taffensis
Fontimonas thermophila
Francisellaceae bacterium
Frankia coriariae
Frankia discariae
Frankia elaeagni
Frankia inefficax
Frankia saprophytica
Frankia sp. DC12
Frankia sp. EAN1pec
Frankia sp. QA3
Frankiales bacterium
Frankineae bacterium MT45
Frateuria sp. Soil773
Frateuria terrea
Fredinandcohnia aciditolerans
Friedmanniella flava
Friedmanniella luteola
Friedmanniella sagamiharensis
Frigoribacterium sp. Leaf164
Frigoribacterium sp. Leaf8
Frondihabitans sp. 762G35
Frondihabitans sp. PAMC 28766
Fuerstiella marisgermanici
Fulvimonas soli
Furfurilactobacillus rossiae
Gardnerella vaginalis
Gemella haemolysans
Geminicoccus roseus
Gemmata obscuriglobus
Gemmata sp. SH-PL17
Gemmatimonas aurantiaca
Gemmatimonas phototrophica
Gemmatirosa kalamazoonesis
Geobacillus stearothermophilus
Geobacter sp. M18
Geobacter sulfurreducens
Geodermatophilaceae bacterium URHA0031
Geodermatophilaceae bacterium URHB0062
Geodermatophilus africanus
Geodermatophilus amargosae
Geodermatophilus nigrescens
Geodermatophilus obscurus
Geodermatophilus poikilotrophus
Geodermatophilus ruber
Geodermatophilus sabuli
Geodermatophilus saharensis
Geodermatophilus siccatus
Geodermatophilus sp. DSM 44511
Geodermatophilus telluris
Geodermatophilus tzadiensis
Georgenia satyanarayanai
Geothrix fermentans
Giesbergeria anulus
Glaciibacter superstes
Glycomyces arizonensis
Glycomyces artemisiae
Glycomyces harbinensis
Glycomyces sambucus
Glycomyces tenuis
Gordonia bronchialis
Gordonia iterans
Gordonia polyisoprenivorans
Gordonia terrae
Granulicatella elegans
Granulicella mallensis
Granulicella tundricola
Granulicoccus phenolivorans
Gryllotalpicola ginsengisoli
Haemophilus haemolyticus
Haemophilus influenzae
Haemophilus parainfluenzae
Haemophilus sp. oral taxon 036
Haliangium ochraceum
Halomonas ilicicola
Halomonas muralis
Halopseudomonas bauzanensis
Hamadaea tsunoensis
Hartmannibacter diazotrophicus
Hephaestia caeni
Herbaspirillum hiltneri
Herbaspirillum sp. XFZ15
Herbiconiux ginsengi
Herbidospora cretacea
Herbidospora daliensis
Herbidospora mongoliensis
Herbidospora sakaeratensis
Herbidospora yilanensis
Hoeflea marina
Hoeflea olei
Hoeflea sp. 108
Humitalea rosea
Hydrocarboniphaga daqingensis
Hydrogenophaga crassostreae
Hydrogenophaga sp. IBVHS1
Hydrogenophaga sp. IBVHS2
