Species	otago	okla	jena
Acinetobacter johnsonii		1	1
Acinetobacter junii		1	1
Acinetobacter lwoffii		1	1
Acinetobacter nosocomialis		1	1
Acinetobacter radioresistens			1
Acinetobacter sp. BMW17		1	1
Acinetobacter sp. NIPH 284	1		
Acinetobacter sp. yr461	1	1	1
Acinetobacter ursingii		1	1
Actinoalloteichus hoggarensis	1	1	1
Actinoalloteichus hymeniacidonis		1	
Actinobacteria bacterium IMCC25003		1	1
Actinobacteria bacterium IMCC26256	1	1	1
Actinokineospora bangkokensis	1	1	1
Actinokineospora cianjurensis	1	1	1
Actinokineospora enzanensis	1	1	1
Actinokineospora inagensis	1	1	1
Actinokineospora mzabensis	1	1	1
Actinokineospora terrae	1	1	1
Actinomadura amylolytica	1	1	1
Actinomadura atramentaria	1	1	1
Actinomadura echinospora	1	1	1
Actinomadura flavalba	1	1	1
Actinomadura madurae	1	1	1
Actinomadura meyerae	1	1	1
Actinomadura oligospora	1	1	1
Actinomadura pelletieri	1	1	1
Actinomadura rifamycini	1	1	1
Actinomadura sp. CNU-125	1	1	1
Actinomadura sp. RB29	1	1	1
Actinomadura viridilutea	1	1	1
Actinomyces graevenitzii		1	
Actinomyces sp. HPA0247		1	1
Actinomyces sp. oral taxon 171		1	
Actinomycetospora chiangmaiensis	1	1	1
Actinomycetospora cinnamomea	1	1	1
Actinoplanes atraurantiacus	1	1	1
Actinoplanes derwentensis	1	1	1
Actinoplanes friuliensis	1	1	1
Actinoplanes globisporus	1	1	1
Actinoplanes italicus	1	1	1
Actinoplanes lutulentus	1	1	1
Actinoplanes missouriensis	1	1	1
Actinoplanes regularis	1	1	1
Actinoplanes sp. N902-109	1	1	1
Actinoplanes sp. TFC3	1	1	1
Actinoplanes teichomyceticus	1	1	1
Actinoplanes xinjiangensis	1	1	1
Actinopolymorpha alba	1	1	1
Actinopolymorpha cephalotaxi	1	1	1
Actinopolymorpha singaporensis	1	1	1
Actinopolyspora erythraea	1		1
Actinopolyspora mortivallis	1	1	1
Actinopolyspora xinjiangensis	1	1	1
Actinospica robiniae	1	1	1
Actinosynnema mirum	1	1	1
Actinosynnema pretiosum	1	1	1
Actinotignum timonense		1	1
Aeromicrobium choanae	1	1	1
Aeromicrobium erythreum	1	1	1
Aeromicrobium marinum		1	1
Aeromicrobium massiliense	1	1	1
Aeromicrobium sp. Root344	1	1	1
Aeromicrobium sp. Root472D3	1	1	1
Aeromicrobium sp. Root495	1	1	1
Aeromonas caviae			1
Aeromonas dhakensis	1	1	1
Aeromonas hydrophila	1	1	1
Aeromonas media		1	
Aeromonas salmonicida	1	1	1
Afifella marina	1	1	1
Afifella pfennigii	1	1	1
Afipia birgiae	1	1	1
Afipia broomeae	1	1	1
Afipia clevelandensis	1	1	1
Afipia felis	1	1	1
Afipia sp. GAS231	1	1	1
Agrobacterium genomosp. 5		1	1
Agrobacterium rhizogenes	1	1	1
Agrobacterium sp. MS2			1
Agrobacterium sp. SUL3			1
Agrococcus baldri		1	1
Agrococcus carbonis	1	1	1
Agrococcus jejuensis	1	1	1
Agrococcus lahaulensis	1	1	1
Agromyces flavus	1	1	1
Agromyces sp. Root81		1	
Ahniella affigens	1	1	1
Akkermansia muciniphila	1	1	1
Albidiferax sp. OV413	1	1	1
Albidovulum xiamenense	1	1	1
Albimonas pacifica	1	1	1
Alcaligenes faecalis	1	1	1
Alcanivorax pacificus	1	1	1
Alcanivorax sp. N3-2A	1	1	1
Alicycliphilus denitrificans	1	1	1
Alicyclobacillus acidocaldarius	1	1	1
Alicyclobacillus macrosporangiidus	1	1	1
Alicyclobacillus vulcanalis	1	1	1
Alistipes putredinis	1		
Alkalilimnicola ehrlichii	1	1	1
Alkalispirillum mobile	1	1	1
Alkanindiges illinoisensis			1
Alloactinosynnema album	1	1	1
Alloactinosynnema iranicum	1	1	1
Alloactinosynnema sp. L-07	1	1	1
Allochromatium vinosum	1	1	1
Allochromatium warmingii	1	1	1
Allokutzneria albata	1	1	1
Allokutzneria sp. NRRL B-24872	1	1	1
Allonocardiopsis opalescens	1	1	1
Alloprevotella tannerae		1	
Altererythrobacter dongtanensis	1	1	1
Altererythrobacter mangrovi		1	1
Altererythrobacter marensis		1	1
Altererythrobacter sp. B11		1	
Alteromonadales bacterium BS08		1	1
Aminobacter aminovorans	1	1	1
Aminobacter sp. MSH1	1	1	1
Aminobacter sp. Root100	1	1	1
Aminomonas paucivorans	1		
Ammonifex degensii	1	1	1
Amorphus coralli	1	1	1
Amycolatopsis alba	1	1	1
Amycolatopsis albispora	1	1	1
Amycolatopsis azurea	1	1	1
Amycolatopsis balhimycina	1	1	1
Amycolatopsis benzoatilytica	1	1	1
Amycolatopsis coloradensis	1	1	1
Amycolatopsis halophila	1	1	1
Amycolatopsis kentuckyensis	1	1	1
Amycolatopsis keratiniphila	1	1	1
Amycolatopsis lexingtonensis	1	1	1
Amycolatopsis marina	1	1	1
Amycolatopsis mediterranei	1	1	1
Amycolatopsis methanolica	1	1	1
Amycolatopsis orientalis	1	1	1
Amycolatopsis pretoriensis	1	1	1
Amycolatopsis regifaucium	1	1	1
Amycolatopsis saalfeldensis	1	1	1
Amycolatopsis sp. BJA-103	1	1	1
Amycolatopsis sp. M39	1	1	1
Amycolatopsis taiwanensis	1	1	1
Amycolatopsis thermoflava	1	1	1
Amycolatopsis xylanica	1	1	1
Anaerococcus nagyae			1
Anaerococcus octavius			1
Anaerolinea thermolimosa	1	1	1
Anaerolinea thermophila	1	1	1
Anaeromyxobacter dehalogenans	1	1	1
Anaeromyxobacter sp. Fw109-5	1	1	1
Anaeromyxobacter sp. K	1	1	1
Anaerosalibacter massiliensis	1	1	
Anaerotruncus massiliensis	1	1	1
Anaplasma phagocytophilum		1	1
Andreprevotia chitinilytica	1	1	1
Andreprevotia lacus	1	1	1
Angustibacter sp. Root456	1	1	1
Anoxybacillus flavithermus			1
Aquabacterium olei	1	1	1
Aquamicrobium aerolatum			1
Aquamicrobium defluvii	1	1	1
Aquicella lusitana	1	1	1
Aquimonas voraii	1	1	1
Aquincola tertiaricarbonis	1	1	1
Aquisalimonas asiatica	1	1	1
Aquitalea magnusonii	1	1	1
Archangium gephyra	1	1	1
Arcicella aurantiaca		1	1
Arcobacter suis		1	1
Ardenticatena maritima	1	1	1
Arenimonas caeni	1	1	1
Arenimonas composti	1	1	1
Arhodomonas aquaeolei	1	1	1
Aromatoleum aromaticum	1	1	1
Aromatoleum toluclasticum	1	1	1
Aromatoleum tolulyticum	1	1	1
Arsenicicoccus sp. oral taxon 190	1	1	1
Arthrobacter sp. Leaf234			1
Arthrobacter sp. Soil736	1	1	1
Arthrobacter sp. Soil782		1	
Asanoa hainanensis	1	1	1
Asinibacterium sp. OR43	1	1	1
Asinibacterium sp. OR53	1	1	1
Asticcacaulis biprosthecium	1	1	1
Asticcacaulis taihuensis		1	
Aurantimonas manganoxydans	1	1	1
Auraticoccus monumenti	1	1	1
Aureimonas altamirensis	1	1	1
Aureimonas jatrophae	1	1	1
Aureimonas sp. AU20	1	1	1
Aureimonas sp. Leaf460	1	1	1
Azoarcus communis	1	1	1
Azoarcus olearius	1	1	1
Azoarcus sp. BH72	1	1	1
Azoarcus sp. CIB	1	1	1
Azoarcus sp. DN11	1	1	1
Azoarcus sp. KH32C	1	1	1
Azoarcus sp. SY39	1	1	1
Azohydromonas australica	1	1	1
Azonexus fungiphilus	1	1	1
Azonexus hydrophilus	1	1	1
Azorhizobium caulinodans	1	1	1
Azorhizobium doebereinerae	1	1	1
Azospirillum brasilense	1	1	1
Azospirillum halopraeferens	1	1	1
Azospirillum humicireducens	1	1	1
Azospirillum lipoferum	1	1	1
Azospirillum ramasamyi	1	1	1
Azospirillum sp. B4	1	1	1
Azospirillum sp. B506	1	1	1
Azospirillum sp. TSA6c	1	1	1
Azospirillum sp. TSH58	1	1	1
Azospirillum sp. TSH64	1	1	1
Azospirillum sp. TSO35-2	1	1	1
Azospirillum thiophilum	1	1	1
Azotobacter beijerinckii	1	1	1
Azotobacter chroococcum	1	1	1
Azotobacter vinelandii	1	1	1
Azovibrio restrictus	1	1	1
Bacillus aciditolerans		1	1
Bacillus cereus		1	1
Bacillus paralicheniformis	1	1	1
Bacillus sp. FJAT-14578		1	
Bacillus sp. S1-R5C1-FB		1	1
Bacillus thuringiensis		1	1
bacterium	1	1	1
Bdellovibrio bacteriovorus	1	1	1
Beggiatoa leptomitoformis	1	1	1
Bellilinea caldifistulae	1	1	1
Belnapia moabensis	1	1	1
Belnapia rosea	1	1	1
Belnapia sp. F-4-1	1	1	1
beta proteobacterium CB		1	1
Betaproteobacteria bacterium GR16-43	1	1	1
Beutenbergia cavernae	1	1	1
Bifidobacterium adolescentis	1		
Bifidobacterium longum	1		
Bifidobacterium thermophilum			1
Blastochloris viridis	1	1	1
Blastococcus endophyticus	1	1	1
Blastococcus saxobsidens	1	1	1
Blastococcus sp. DSM 46786	1	1	1
Blastococcus sp. DSM 46838	1	1	1
Blastococcus sp. URHD0036	1	1	1
Blastomonas natatoria	1	1	1
Blastopirellula marina	1	1	1
Bordetella ansorpii	1	1	1
Bordetella bronchialis	1	1	1
Bordetella bronchiseptica	1	1	1
Bordetella flabilis	1	1	1
Bordetella genomosp. 13	1	1	1
Bordetella genomosp. 6	1	1	1
Bordetella genomosp. 8	1	1	1
Bordetella genomosp. 9	1	1	1
Bordetella hinzii	1	1	1
Bordetella holmesii	1	1	1
Bordetella petrii	1	1	1
Bordetella pseudohinzii	1	1	1
Bordetella sp. FB-8	1	1	1
Bordetella sp. H567	1	1	1
Bordetella sp. N	1	1	1
Bordetella trematum	1	1	1
Bosea lathyri	1	1	1
Bosea sp. 1131	1	1	1
Bosea sp. 117	1	1	1
Bosea sp. AS-1	1	1	1
Bosea sp. Leaf344	1	1	1
Bosea sp. OK403	1	1	1
Bosea sp. PAMC 26642	1	1	1
Bosea sp. RAC05	1	1	1
Bosea sp. Root381	1	1	1
Bosea sp. Root483D1	1	1	1
Bosea sp. Root670	1	1	1
Bosea sp. UNC402CLCol	1	1	1
Bosea vaviloviae	1	1	1
Brachybacterium alimentarium	1	1	1
Brachybacterium faecium		1	
Brachybacterium ginsengisoli		1	
Brachybacterium muris		1	1
Brachybacterium sp. HMSC06H03		1	1
Brachymonas denitrificans			1
Bradymonas sediminis	1	1	1
Bradyrhizobiaceae bacterium SG-6C	1	1	1
Bradyrhizobium amphicarpaeae	1	1	1
Bradyrhizobium arachidis	1	1	1
Bradyrhizobium diazoefficiens	1	1	1
Bradyrhizobium elkanii	1	1	1
Bradyrhizobium erythrophlei	1	1	1
Bradyrhizobium forestalis	1	1	1
Bradyrhizobium icense	1	1	1
Bradyrhizobium japonicum	1	1	1
Bradyrhizobium jicamae	1	1	1
Bradyrhizobium lablabi	1	1	1
Bradyrhizobium macuxiense	1	1	1
Bradyrhizobium manausense	1	1	1
Bradyrhizobium neotropicale	1	1	1
Bradyrhizobium nitroreducens	1	1	1
Bradyrhizobium oligotrophicum	1	1	1
Bradyrhizobium ottawaense	1	1	1
Bradyrhizobium pachyrhizi	1	1	1
Bradyrhizobium sacchari	1	1	1
Bradyrhizobium sp.	1	1	1
Bradyrhizobium sp. Ai1a-2	1	1	1
Bradyrhizobium sp. AT1	1	1	1
Bradyrhizobium sp. BTAi1	1	1	1
Bradyrhizobium sp. CCGE-LA001	1		1
Bradyrhizobium sp. cf659	1	1	1
Bradyrhizobium sp. Cp5.3	1	1	1
Bradyrhizobium sp. DOA1	1	1	1
Bradyrhizobium sp. DOA9	1	1	1
Bradyrhizobium sp. Ec3.3	1	1	1
Bradyrhizobium sp. Gha	1	1	1
Bradyrhizobium sp. Ghvi	1	1	1
Bradyrhizobium sp. Leaf396		1	1
Bradyrhizobium sp. LTSP849		1	1
Bradyrhizobium sp. LTSP857	1	1	1
Bradyrhizobium sp. LTSP885	1	1	1
Bradyrhizobium sp. LTSPM299	1	1	1
Bradyrhizobium sp. ORS 278	1	1	1
Bradyrhizobium sp. ORS 285	1	1	1
Bradyrhizobium sp. ORS 3257	1	1	1
Bradyrhizobium sp. ORS 375	1	1	1
Bradyrhizobium sp. R5	1	1	1
Bradyrhizobium sp. Rc2d	1	1	1
Bradyrhizobium sp. Rc3b			1
Bradyrhizobium sp. S23321	1	1	1
Bradyrhizobium sp. SK17	1	1	1
Bradyrhizobium sp. STM 3843	1	1	1
Bradyrhizobium sp. SUTN9-2			1
Bradyrhizobium sp. th.b2	1	1	1
Bradyrhizobium sp. URHA0002	1	1	1
Bradyrhizobium sp. URHA0013	1		1
Bradyrhizobium sp. URHD0069	1	1	1
Bradyrhizobium sp. WSM1253			1
Bradyrhizobium sp. WSM1417			1
Bradyrhizobium sp. WSM1743	1	1	1
Bradyrhizobium sp. WSM2254			1
Bradyrhizobium sp. WSM2793			1
Bradyrhizobium sp. WSM3983	1	1	1
Bradyrhizobium sp. WSM4349	1		1
Bradyrhizobium symbiodeficiens	1	1	1
Bradyrhizobium valentinum	1	1	1
Bradyrhizobium yuanmingense	1	1	1
Brevibacillus thermoruber	1	1	1
Brevibacterium aurantiacum		1	1
Brevibacterium luteolum		1	1
Brevibacterium paucivorans			1
Brevibacterium senegalense		1	1
Brevirhabdus pacifica		1	
Brevundimonas bacteroides	1	1	1
Brevundimonas bullata		1	1
Brevundimonas diminuta	1	1	1
Brevundimonas naejangsanensis	1	1	1
Brevundimonas sp. BAL3	1	1	1
Brevundimonas sp. DS20	1	1	1
Brevundimonas sp. GW460-12-10-14-LB2		1	1
Brevundimonas sp. Leaf168		1	1
Brevundimonas sp. LM2	1	1	1
Brevundimonas sp. Root1423	1	1	1
Brevundimonas subvibrioides	1	1	1
Brevundimonas vesicularis		1	1
Brochothrix thermosphacta		1	
Brucella sp. 09RB8910			1
Brucella sp. B13-0095			1
Burkholderia ambifaria	1	1	1
Burkholderia anthina	1	1	1
Burkholderia cenocepacia	1	1	1
Burkholderia cepacia	1	1	1
Burkholderia contaminans	1	1	1
Burkholderia diffusa		1	1
Burkholderia dolosa		1	
Burkholderia gladioli	1	1	1
Burkholderia glumae	1	1	1
Burkholderia insecticola	1	1	1
Burkholderia lata	1	1	1
Burkholderia latens	1	1	1
Burkholderia metallica	1	1	1
Burkholderia multivorans	1	1	1
Burkholderia oklahomensis	1	1	1
Burkholderia plantarii	1	1	1
Burkholderia pseudomallei	1	1	1
Burkholderia pseudomultivorans	1	1	1
Burkholderia pyrrocinia	1	1	1
Burkholderia seminalis		1	1
Burkholderia sp. A2		1	
Burkholderia sp. BDU6	1	1	1
Burkholderia sp. BDU8	1	1	1
Burkholderia sp. Bp7605	1	1	1
Burkholderia sp. Ch1-1		1	1
Burkholderia sp. HMSC10F09		1	
Burkholderia sp. IDO3	1	1	1
Burkholderia sp. JS23	1	1	1
Burkholderia sp. K24		1	1
Burkholderia sp. KK1	1	1	1
Burkholderia sp. LA-2-3-30-S1-D2		1	1
Burkholderia sp. MSMB0856		1	1
Burkholderia sp. NFACC38-1		1	
Burkholderia sp. NRF60-BP8		1	
Burkholderia sp. OLGA172	1	1	1
Burkholderia sp. RPE67	1	1	1
Burkholderia sp. UYPR1.413	1	1	1
Burkholderia sp. WSM2232	1	1	1
Burkholderia sp. yr520	1	1	1
Burkholderia stabilis	1	1	1
Burkholderia stagnalis	1	1	1
Burkholderia territorii	1	1	1
Burkholderia thailandensis	1	1	1
Burkholderia ubonensis	1	1	1
Burkholderia vietnamiensis	1	1	1
Burkholderiaceae bacterium 16	1	1	1
Burkholderiales bacterium	1	1	1
Burkholderiales bacterium GJ-E10	1	1	1
Burkholderiales bacterium JOSHI_001	1	1	1
Caballeronia cordobensis	1	1	1
Caenimonas sp. SL110	1	1	1
Caenispirillum bisanense	1	1	1
Caldilinea aerophila	1	1	1
Caldimonas manganoxidans	1	1	1
Calidithermus chliarophilus	1	1	1
Calidithermus timidus	1	1	1
Candidatus Accumulibacter phosphatis	1	1	1
Candidatus Babela massiliensis	1	1	1
Candidatus Bipolaricaulis anaerobius	1	1	1
Candidatus Blastococcus massiliensis	1	1	1
Candidatus Competibacter denitrificans	1	1	1
Candidatus Coxiella mudrowiae	1	1	1
Candidatus Dactylopiibacterium carminicum	1	1	1
Candidatus Desulforudis audaxviator	1	1	1
Candidatus Filomicrobium marinum	1	1	1
Candidatus Koribacter versatilis	1	1	1
Candidatus Kryptobacter tengchongensis		1	1
Candidatus Methylopumilus turicensis		1	1
Candidatus Microthrix parvicella	1	1	1
Candidatus Nitrosocaldus islandicus	1	1	1
Candidatus Nitrosomarinus catalina	1	1	1
Candidatus Nitrosopelagicus brevis	1	1	1
Candidatus Nitrosopumilus sediminis	1	1	1
Candidatus Nitrosotenuis aquarius	1	1	1
Candidatus Nitrosotenuis cloacae	1	1	1
Candidatus Nitrospira inopinata	1	1	1
Candidatus Planktophila dulcis		1	1
Candidatus Planktophila lacus		1	1
Candidatus Planktophila sulfonica		1	1
Candidatus Promineofilum breve	1	1	1
Candidatus Rhodobacter lobularis	1	1	1
Candidatus Rhodoluna planktonica		1	
Candidatus Solibacter usitatus	1	1	1
Candidatus Thiodiazotropha endoloripes	1	1	1
Candidatus Thiodictyon syntrophicum	1	1	1
Candidimonas bauzanensis	1	1	1
Cardiobacterium hominis		1	
Castellaniella defragrans	1	1	1
Catalinimonas alkaloidigena	1	1	1
Catelliglobosispora koreensis	1	1	1
Catenulispora acidiphila	1	1	1
Caulobacter flavus	1	1	1
Caulobacter henricii	1	1	1
Caulobacter mirabilis	1	1	1
Caulobacter segnis	1	1	1
Caulobacter sp. FWC26	1	1	1
Caulobacter sp. K31	1	1	1
Caulobacter sp. Root1472	1	1	1
Caulobacter sp. Root487D2Y	1	1	1
Caulobacter sp. Root655	1	1	1
Caulobacter sp. UNC358MFTsu5.1	1	1	1
Caulobacter sp. URHA0033	1	1	1
Caulobacter vibrioides	1	1	1
Caulobacteraceae bacterium OTSz_A_272	1	1	1
Cedecea neteri		1	
Celeribacter indicus	1	1	1
Cellulomonas fimi	1	1	1
Cellulomonas flavigena		1	1
Cellulomonas gilvus	1	1	1
Cellulomonas massiliensis	1	1	1
Cellulomonas sp. A375-1	1	1	1
Cellulomonas sp. KH9	1	1	1
Cellulomonas sp. Leaf395	1	1	1
Cellulomonas sp. PSBB021		1	1
Cellulosimicrobium cellulans	1	1	1
Cellvibrio mixtus	1	1	1
Cellvibrio sp. BR			1
Cellvibrio sp. pealriver		1	1
Cellvibrio sp. PSBB023		1	1
Cereibacter changlensis	1	1	1
Chelativorans sp. BNC1	1	1	1
Chelativorans sp. J32	1	1	1
Chelatococcus asaccharovorans	1	1	1
Chelatococcus sambhunathii	1	1	1
Chelatococcus sp. CO-6	1	1	1
Chitinilyticum litopenaei	1	1	1
Chitinimonas koreensis	1	1	1
Chitinimonas taiwanensis	1	1	1
Chitiniphilus shinanonensis	1	1	1
Chitinophaga arvensicola	1	1	1
Chitinophaga barathri	1	1	1
Chitinophaga eiseniae	1	1	1
Chitinophaga ginsengisoli	1	1	1
Chitinophaga niabensis	1	1	1
Chitinophaga rupis	1	1	1
Chitinophaga sp. CF118	1	1	1
Chitinophaga sp. YR573	1	1	1
Chitinophaga terrae Kim and Jung 2007	1	1	1
Chitinophagaceae bacterium IBVUCB2	1	1	1
Chloracidobacterium thermophilum	1	1	1
Chlorobaculum limnaeum	1	1	1
Chlorobaculum tepidum	1	1	1
Chloroflexus islandicus	1	1	1
Chondromyces crocatus	1	1	1
Christensenella minuta			1
Christensenella sp. Marseille-P3954	1	1	1
Chromatiaceae bacterium 2141T.STBD.0c.01a	1	1	1
Chromobacterium sp. ATCC 53434	1	1	1
Chromobacterium subtsugae	1	1	1
Chromobacterium vaccinii	1	1	1
Chromobacterium violaceum	1	1	1
Chromohalobacter salexigens	1	1	1
Chryseolinea serpens	1	1	1
Chthoniobacter flavus	1	1	1
Chthonomonas calidirosea	1	1	1
Ciceribacter lividus	1	1	1
Citreimonas salinaria	1	1	1
Citrobacter sp. MGH109	1		
Citrobacter werkmanii		1	1
Citromicrobium sp. JL477		1	
Clavibacter michiganensis	1	1	1
Cloacibacterium normanense	1	1	1
Clostridiales bacterium Marseille-P2846	1	1	1
Clostridium botulinum		1	1
Clostridium tetani	1	1	1
Cnuella takakiae	1	1	1
Cobetia marina	1	1	1
Cohnella sp. 6021052837	1	1	1
Cohnella thermotolerans	1	1	1
Collimonas arenae	1	1	1
Collimonas fungivorans	1	1	1
Collimonas pratensis	1	1	1
Collimonas sp. OK242	1	1	1
Collimonas sp. OK307	1	1	1
Comamonadaceae bacterium URHA0028	1	1	1
Comamonas aquatica		1	1
Comamonas composti	1	1	1
Comamonas serinivorans	1	1	1
Comamonas testosteroni	1	1	1
Comamonas thiooxydans		1	1
Conexibacter woesei	1	1	1
Corallococcus coralloides	1	1	1
Corallococcus macrosporus	1	1	1
Corynebacterium aurimucosum		1	1
Corynebacterium diphtheriae	1	1	1
Corynebacterium glutamicum			1
Corynebacterium ihumii		1	1
Corynebacterium jeikeium		1	1
Corynebacterium kroppenstedtii			1
Corynebacterium otitidis		1	1
Corynebacterium pollutisoli			1
Corynebacterium pseudogenitalium		1	1
Corynebacterium sp. HMSC034A01		1	1
Corynebacterium sp. HMSC05H05			1
Corynebacterium ureicelerivorans			1
Corynebacterium xerosis		1	
Coxiella burnetii	1	1	1
Cronobacter dublinensis	1	1	1
Cronobacter malonaticus	1	1	1
Cronobacter turicensis	1	1	1
Cronobacter universalis		1	
Crossiella equi	1	1	1
Cryocola sp. 340MFSha3.1		1	
Cryptosporangium arvum	1	1	1
Cryptosporangium aurantiacum	1	1	1
Cupriavidus alkaliphilus	1	1	1
Cupriavidus basilensis	1	1	1
Cupriavidus gilardii	1	1	1
Cupriavidus metallidurans	1	1	1
Cupriavidus nantongensis	1	1	1
Cupriavidus necator	1	1	1
Cupriavidus oxalaticus	1	1	1
Cupriavidus pauculus	1	1	1
Cupriavidus pinatubonensis	1	1	1
Cupriavidus plantarum	1	1	1
Cupriavidus sp. amp6	1	1	1
Cupriavidus sp. SK-3	1	1	1
Cupriavidus sp. SK-4	1	1	1
Cupriavidus sp. USMAA2-4			1
Cupriavidus sp. YR651	1	1	1
Cupriavidus taiwanensis	1	1	1
Curvibacter gracilis	1	1	1
Curvibacter lanceolatus		1	1
Curvibacter sp. AEP1-3	1	1	1
Curvibacter sp. PAE-UM	1	1	1
Cutibacterium acnes		1	1
Cutibacterium granulosum			1
Cyanobium gracile	1	1	1
Cyanobium sp. NIES-981	1	1	1
Cyanobium sp. PCC 7001	1	1	1
Cystobacter fuscus	1	1	1
Cytophaga aurantiaca		1	
Cytophaga hutchinsonii	1	1	
Dechloromonas agitata	1	1	1
Dechloromonas aromatica	1	1	1
Dechloromonas denitrificans	1	1	1
Dechlorosoma suillum	1	1	1
Defluviimonas alba		1	
Deinococcus actinosclerus	1	1	1
Deinococcus apachensis	1	1	1
Deinococcus ficus	1	1	1
Deinococcus geothermalis	1	1	1
Deinococcus gobiensis	1	1	1
Deinococcus hopiensis	1	1	1
Deinococcus indicus	1	1	1
Deinococcus maricopensis	1	1	1
Deinococcus marmoris			1
Deinococcus peraridilitoris	1	1	1
Deinococcus pimensis	1	1	1
Deinococcus radiodurans	1	1	1
Deinococcus reticulitermitis	1	1	1
Deinococcus sp. Leaf326	1	1	1
Deinococcus sp. NW-56	1	1	1
Deinococcus swuensis	1	1	1
Deinococcus wulumuqiensis		1	
Deinococcus yavapaiensis	1	1	1
Delftia acidovorans	1	1	1
Delftia sp. Cs1-4			1
Delftia sp. HK171			1
Delftia sp. K82			1
Delftia sp. ZNC0008			1
Delftia tsuruhatensis			1
Derxia gummosa	1	1	1
Desulfacinum hydrothermale	1	1	1
Desulfacinum infernum	1	1	1
Desulfarculus baarsii	1	1	1
Desulfatiglans anilini	1	1	1
Desulfatirhabdium butyrativorans	1	1	1
Desulfobulbus elongatus	1	1	1
Desulfocarbo indianensis	1	1	1
Desulfococcus multivorans	1	1	1
Desulfococcus oleovorans	1	1	1
Desulfocurvibacter africanus	1	1	1
Desulfocurvus vexinensis	1	1	1
Desulfoluna spongiiphila	1	1	1
Desulfomicrobium escambiense	1	1	1
Desulfomonile tiedjei	1	1	1
Desulfonatronum lacustre	1	1	1
Desulfovibrio aminophilus	1	1	1
Desulfovibrio desulfuricans	1	1	1
Desulfovibrio gigas	1	1	1
Desulfovibrio legallii		1	
Desulfovibrio longus	1	1	1
Desulfovibrio magneticus	1	1	1
Desulfovibrio mexicanus	1	1	1
Desulfovibrio piger	1	1	1
Desulfovibrio putealis	1	1	1
Desulfovibrio sp. U5L	1	1	1
Desulfovibrio termitidis	1	1	1
Desulfovibrio vulgaris	1	1	1
Desulfovirgula thermocuniculi	1	1	1
Desulfurivibrio alkaliphilus	1	1	1
Desulfuromonas soudanensis	1	1	1
Desulfuromonas sp. DDH964	1	1	1
Desulfuromonas sp. TF	1	1	1
Desulfuromonas thiophila		1	
Devosia enhydra	1	1	1
Devosia sp. 17-2-E-8	1	1	1
Devosia sp. A16	1	1	1
Devosia sp. H5989	1	1	1
Devosia sp. Root105		1	
Devosia sp. Root436	1	1	1
Devosia sp. Root635	1	1	1
