Species
Dechloromonas agitata
Dechloromonas aromatica
Dechloromonas denitrificans
Dechlorosoma suillum
Deinococcus actinosclerus
Deinococcus apachensis
Deinococcus ficus
Deinococcus geothermalis
Deinococcus gobiensis
Deinococcus hopiensis
Deinococcus indicus
Deinococcus maricopensis
Deinococcus peraridilitoris
Deinococcus pimensis
Deinococcus radiodurans
Deinococcus reticulitermitis
Deinococcus sp. Leaf326
Deinococcus sp. NW-56
Deinococcus swuensis
Deinococcus yavapaiensis
Delftia acidovorans
Derxia gummosa
Desulfacinum hydrothermale
Desulfacinum infernum
Desulfarculus baarsii
Desulfatiglans anilini
Desulfatirhabdium butyrativorans
Desulfobulbus elongatus
Desulfocarbo indianensis
Desulfococcus multivorans
Desulfococcus oleovorans
Desulfocurvibacter africanus
Desulfocurvus vexinensis
Desulfoluna spongiiphila
Desulfomicrobium escambiense
Desulfomonile tiedjei
Desulfonatronum lacustre
Desulfovibrio aminophilus
Desulfovibrio desulfuricans
Desulfovibrio gigas
Desulfovibrio longus
Desulfovibrio magneticus
Desulfovibrio mexicanus
Desulfovibrio piger
Desulfovibrio putealis
Desulfovibrio sp. U5L
Desulfovibrio termitidis
Desulfovibrio vulgaris
Desulfovirgula thermocuniculi
Desulfurivibrio alkaliphilus
Desulfuromonas soudanensis
Desulfuromonas sp. DDH964
Desulfuromonas sp. TF
Devosia enhydra
Devosia sp. 17-2-E-8
Devosia sp. A16
Devosia sp. H5989
Devosia sp. Root436
Devosia sp. Root635
Dokdonella immobilis
Dokdonella koreensis
Dongia sp. URHE0060
Duganella sacchari
Duganella sp. CF402
Duganella sp. CF458
Duganella sp. CF517
Duganella sp. Root1480D1
Duganella zoogloeoides
Dyadobacter fermentans
Dyella japonica
Dyella jiangningensis
Dyella marensis
Dyella sp. 333MFSha
Dyella sp. 4G-K06
Dyella sp. 4MSK11
Dyella sp. DHG54
Dyella sp. OK004
Dyella thiooxydans
Ectothiorhodospira haloalkaliphila
Ectothiorhodospira magna
Ectothiorhodospira sp. BSL-9
Edaphobacter aggregans
Elioraea tepidiphila
Embleya scabrispora
endosymbiont of Ridgeia piscesae
endosymbiont of unidentified scaly snail isolate Monju
Enhydrobacter aerosaccus
Ensifer aridi
Ensifer sojae
Ensifer sp. BR816
Ensifer sp. ZNC0028
Enterobacter hormaechei
Enterobacter roggenkampii
Enterococcus faecium
Ereboglobus luteus
Erythrobacter litoralis
Erythrobacter sp. HL-111
Escherichia coli
Euzebya sp. DY32-46
Extensimonas vulgaris
Faecalibacterium prausnitzii
Ferrimonas marina
Ferriphaselus amnicola
Ferriphaselus sp. R-1
Fibrella aestuarina
