Library_ID	Mapped	Non_mapped	Assigned	Non_Assigned
TAF016.B0101	317754	3339835	314117	3637
TAF017.A0101	829990	2851716	825910	4080
TAF017.C0101	1179863	4280016	1178292	1571
TAF017.E0101	9050	56523	8992	58
TAF018.A0101	1199134	6478999	1195264	3870
TAF018.B0101	3936422	2603838	3934988	1434
VLC001.A0101	26160808	7788687	26158561	2247
VLC002.A0101	11553431	4139178	11551033	2398
VLC003.A0101	21494263	4514809	21492471	1792
VLC004.A0101	29848424	13322908	29839161	9263
VLC005.A0101	32003465	11981387	31996831	6634
VLC008.A0101	28706362	6950794	28704020	2342
VLC009.A0101	26508944	7042702	26501843	7101
VLC010.A0101	14933898	4102143	14931600	2298
VLD001.A0101	2969323	5930220	2953657	15666
WAL001.A0101	2557542	12287842	2521334	36208
ZAF001.A0101	1515997	6888543	1504043	11954
ERR5729614	14350146	23395563	14342282	7864
ERR5729615	11094505	31623762	11072500	22005
ERR5729616	15353056	26497130	15343013	10043
ERR5729617	13881238	18662621	13872760	8478
ERR5729618	12778412	24900045	12756908	21504
ERR5729619	20592580	21909189	20574030	18550
ERR5729620	12872818	27464591	12852105	20713
ERR5729621	13388393	31011434	13356048	32345
ERR5729622	13195226	21066295	13180824	14402
ERR5729623	14030095	22198069	14015266	14829
ERR5729624	4368191	4014256	4364510	3681
ERR5729625	15008796	21901133	15001801	6995
ERR5729626	19432100	31232640	19415881	16219
ERR5729627	10865892	24486294	10853150	12742
ERR5729628	13144580	19495163	13136481	8099
ERR5729629	11323166	19867391	11311892	11274
ERR5729630	4858373	13717381	4848946	9427
ERR5729631	13045258	21761701	13031174	14084
ERR5729632	16909175	31926680	16895418	13757
ERR5729633	17733246	21097625	17721648	11598
ERR5729634	13562044	27580426	13545443	16601
ERR5729635	2207582	31978406	2179742	27840
ERR5729636	10975507	19266429	10967656	7851
ERR5729637	12440224	15538563	12419815	20409
ERR5729638	13111854	16031958	13104790	7064
ERR5729639	9957693	17373267	9945157	12536
ERR5729640	11876583	16630853	11870724	5859
ERR5729641	13230901	18201205	13218043	12858
ERR5729642	13317363	14789523	13310872	6491
ERR5729643	9905224	15789592	9900862	4362
ERR5729644	10559421	17754355	10552606	6815
ERR5729645	10341799	13250902	10336358	5441
ERR5729646	9226816	15839412	9220115	6701
ERR5729647	10505237	15589043	10497876	7361
ERR5729648	12581739	11536479	12576668	5071
ERR5729649	12861003	12682087	12856814	4189
ERR5729650	10144257	13998741	10139137	5120
ERR5729651	15440064	8719964	15433438	6626
ERR5729652	12731669	13029166	12725798	5871
ERR5729653	10902370	14746422	10897492	4878
ERR5729654	11011969	15398912	11001806	10163
ERR5729655	11582749	16031158	11577022	5727
ERR5729656	10037210	14537850	10030391	6819
ERR5729657	16284638	12071105	16279028	5610
SRR11176627	9390294	24160225	9382667	7627
SRR11176628	7341756	3977107	7338845	2911
SRR11176629	7781096	11069859	7777655	3441
SRR11176630	5193651	10345710	5190121	3530
SRR11176631	3672926	7861212	3647197	25729
SRR11176632	3184670	5276635	3181935	2735
SRR11176633	2479448	2611560	2479350	98
SRR11176634	4429874	5400985	4428007	1867
SRR11176635	6691677	10293539	6689488	2189
SRR11176636	7597917	9650479	7590042	7875
SRR11176638	2005091	3820261	2004180	911
SRR11176639	6792804	10416653	6788021	4783
SRR11176640	11157939	13599201	11150341	7598
SRR11176641	3797190	8457234	3794627	2563
SRR11176642	5991984	8170212	5989785	2199
CS01	5061135	4207385	5059564	1571
CS02	5409078	7290372	5407205	1873
CS03	4308587	7359131	4306691	1896
CS04	5196486	4785605	5194268	2218
CS07	4782433	4593404	4780252	2181
CS08	5407775	3268939	5406224	1551
CS09	6193245	7704777	6190869	2376
CS10	11276942	5607061	11274209	2733
CS11	9334987	8730434	9331887	3100
CS12	3299389	3191710	3298273	1116
CS13	9640784	4182548	9638043	2741
CS14	955645	627721	955401	244
CS15	7724803	4742351	7723328	1475
CS16	7367663	2951270	7366166	1497
CS17	5871104	7102673	5869099	2005
CS18	4187988	1279032	4187175	813
CS19	4634539	2021548	4633526	1013
CS20	8847289	9023104	8845079	2210
CS21	6402837	9393676	6398749	4088
CS22	10058014	6658637	10056159	1855
CS23	13277656	8544273	13274162	3494
CS24	3514076	3164911	3512743	1333
CS26	1823738	2911702	1822835	903
CS27	261907	242655	261786	121
CS28	3475264	8960978	3472493	2771
CS29	15261225	5308893	15258995	2230
CS30	2910823	2399580	2909248	1575
CS31	11043525	10367975	11040777	2748
CS32	13154960	15036863	13151027	3933
CS33	5520008	5514500	5518291	1717
CS34	5952088	2854242	5950328	1760
CS35	11034328	16592394	11030787	3541
CS36	3025662	4089191	3024099	1563
CS37	7675510	14646858	7669004	6506
CS38	4991362	9226829	4977233	14129
CS39	4475256	4800857	4473940	1316
CS40	2582263	2186093	2581219	1044
CS42	3209615	2201893	3208463	1152
CS43	3354538	5270880	3352593	1945
CS44	4528414	4844938	4526570	1844
CS45	3013867	1296873	3013230	637
CS46	5110735	4447729	5109168	1567
CS47	13280788	16726784	13274882	5906
CS48	231835	300126	231721	114
