Master ID	Country	shotgun_pct_endo
I21275	United Kingdom	0.306566709
I21276	United Kingdom	0.140157132
I21277	United Kingdom	0.164792371
I21293	United Kingdom	0.019099773
I21302	United Kingdom	0.268291988
I21303	United Kingdom	0.105233479
I21305	United Kingdom	0.635142389
I21306	United Kingdom	0.389671884
I21307	United Kingdom	0.173926181
I21308	United Kingdom	0.483623711
I21309	United Kingdom	0.377641743
I21310	United Kingdom	0.415217159
I21311	United Kingdom	0.451742888
I21312	United Kingdom	0.258777469
I21313	United Kingdom	0.469928603
I21314	United Kingdom	0.59899475
I21315	United Kingdom	0.000907867
I22052	United Kingdom	0.206922243
I22055	United Kingdom	0.425638335
I22056	United Kingdom	0.382678599
I22057	United Kingdom	0.435729253
I22060	United Kingdom	0.485812994
I22062	United Kingdom	0.149454587
I22064	United Kingdom	0.338599001
I22065	United Kingdom	0.356494587
I2413	United Kingdom	0.0058
I2413	United Kingdom	0.0032
I2419	United Kingdom	0.0357
I2419	United Kingdom	0.0029
I2419	United Kingdom	0.0026
I2419	United Kingdom	0.0025
I2419	United Kingdom	0.0022
I2419	United Kingdom	0.0029
I2419	United Kingdom	0.0025
I2446	United Kingdom	0.007700428
I2446	United Kingdom	0.008257635
I2446	United Kingdom	0.008530246
I2446	United Kingdom	0.009279988
I2446	United Kingdom	0.00868014
I2446	United Kingdom	0.010134077
I2448	United Kingdom	0.0035
I2448	United Kingdom	0.00327423
I2448	United Kingdom	0.005186994
I2448	United Kingdom	0.006369238
I2448	United Kingdom	0.003874127
I2565	United Kingdom	0.044404973
I2565	United Kingdom	0.0043
I2565	United Kingdom	0.0045
I2565	United Kingdom	0.0053
I2569	United Kingdom	0.0044
I2569	United Kingdom	0.0051
I2569	United Kingdom	0.0056
I2569	United Kingdom	0.0053
I2574	United Kingdom	0.001073519
I2574	United Kingdom	0.001012763
I2574	United Kingdom	0.001084589
I2574	United Kingdom	0.001093195
I2598	United Kingdom	0.0085
I2611	United Kingdom	0.0065
I2611	United Kingdom	0.01
I2629	United Kingdom	0.0052
I2656	United Kingdom	0.0196
I2656	United Kingdom	0.0186
I2656	United Kingdom	0.0171
I2656	United Kingdom	0.0151
I2656	United Kingdom	0.0158
I2656	United Kingdom	0.0139
