#Datasets	EXB037.A3001.unmapped	EXB037.A3201.unmapped	EXB037.A3401.unmapped	LIB030.A0115.unmapped	EXB037.A3101.unmapped	LIB027.A0136.unmapped	LIB030.A0112.unmapped	LIB030.A0113.unmapped	LIB030.A0114.unmapped	EXB037.A2901.unmapped	EXB037.A3301.unmapped
"Sediminibacterium ginsengisoli"	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sediminibacterium salmoneum"	73.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	102.0
"Sediminibacterium sp. C3"	98.0	0.0	13.0	0.0	0.0	0.0	0.0	7.0	48.0	30.0	84.0
"Segetibacter koreensis"	46.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0
"Chitinophagaceae bacterium IBVUCB2"	68.0	24.0	10.0	0.0	0.0	0.0	14.0	11.0	24.0	0.0	0.0
"Arcicella aurantiaca"	0.0	0.0	0.0	0.0	167.0	0.0	0.0	9.0	40.0	0.0	0.0
"Cytophaga aurantiaca"	0.0	21.0	0.0	0.0	1121.0	0.0	0.0	0.0	0.0	0.0	0.0
"Cytophaga hutchinsonii"	0.0	0.0	0.0	0.0	446.0	0.0	0.0	0.0	0.0	0.0	0.0
"Dyadobacter jiangsuensis"	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"Emticicia sp. MM"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0
"Ohtaekwangia koreensis"	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Runella slithyformis"	123.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	153.0
"Spirosoma panaciterrae"	79.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	119.0
"Spirosoma radiotolerans"	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0
"Sporocytophaga myxococcoides"	0.0	0.0	0.0	0.0	164.0	0.0	0.0	0.0	29.0	0.0	0.0
"Hymenobacter norwichensis"	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Hymenobacter psychrophilus"	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0
"Hymenobacter sp. CRA2"	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Hymenobacter sp. PAMC 26554"	0.0	0.0	0.0	0.0	335.0	0.0	15.0	0.0	0.0	0.0	0.0
"Rufibacter sp. DG31D"	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Fluviicola taffensis"	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Aquimarina muelleri"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0
"Capnocytophaga gingivalis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0
"Chryseobacterium caeni"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0
"Chryseobacterium halperniae"	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0
"Chryseobacterium sp. YR460"	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Cloacibacterium normanense"	257.0	41.0	0.0	32.0	552.0	0.0	16.0	21.0	72.0	56.0	473.0
"Elizabethkingia anophelis"	0.0	0.0	0.0	45.0	0.0	0.0	15.0	7.0	19.0	0.0	0.0
"Flavivirga eckloniae"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0
"Flavobacterium aciduliphilum"	0.0	32.0	0.0	0.0	0.0	0.0	34.0	12.0	59.0	0.0	0.0
"Flavobacterium anhuiense"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	20.0	0.0	0.0
"Flavobacterium aquaticum"	0.0	51.0	0.0	0.0	0.0	0.0	66.0	29.0	77.0	0.0	0.0
"Flavobacterium aquatile"	79.0	155.0	0.0	0.0	272.0	0.0	171.0	72.0	259.0	111.0	0.0
"Flavobacterium aquicola"	0.0	31.0	0.0	0.0	138.0	0.0	40.0	18.0	96.0	40.0	0.0
"Flavobacterium araucananum"	0.0	0.0	0.0	0.0	0.0	0.0	22.0	15.0	24.0	0.0	0.0
"Flavobacterium branchiophilum"	88.0	171.0	0.0	0.0	257.0	0.0	173.0	83.0	316.0	108.0	0.0
"Flavobacterium columnare"	0.0	36.0	0.0	0.0	0.0	0.0	34.0	18.0	101.0	34.0	0.0
"Flavobacterium commune"	0.0	46.0	0.0	0.0	0.0	0.0	42.0	32.0	87.0	35.0	0.0
